timestamp,message
1759310330914,"SubQuery_1_query_registered"
1759310361230,"RStream result generated: 4.234195 at timestamp: 1759310361230"
1759310361230,"Filtered out result due to timing: 4.234195"
1759310391523,"RStream result generated: 4.234195 at timestamp: 1759310391523"
1759310391523,"Processing valid result: 4.234195"
1759310391524,"Generated aggregation event for result: 4.234195"
1759310391529,"Successfully published result: 4.234195"
1759310404043,"SubQuery_1_query_registered"
1759310434394,"RStream result generated: 3.6747422 at timestamp: 1759310434394"
1759310434394,"Filtered out result due to timing: 3.6747422"
1759310454392,"SubQuery_1_query_registered"
1759310484770,"RStream result generated: 4.234195 at timestamp: 1759310484770"
1759310484770,"Filtered out result due to timing: 4.234195"
1759310514913,"RStream result generated: 4.234195 at timestamp: 1759310514913"
1759310514914,"Processing valid result: 4.234195"
1759310514914,"Generated aggregation event for result: 4.234195"
1759310514918,"Successfully published result: 4.234195"
1759310527520,"SubQuery_1_query_registered"
1759310557743,"RStream result generated: 3.6747422 at timestamp: 1759310557743"
1759310557743,"Filtered out result due to timing: 3.6747422"
1759310578290,"SubQuery_1_query_registered"
1759310608651,"RStream result generated: 4.234195 at timestamp: 1759310608651"
1759310608651,"Filtered out result due to timing: 4.234195"
1759310638799,"RStream result generated: 4.234195 at timestamp: 1759310638799"
1759310638799,"Processing valid result: 4.234195"
1759310638800,"Generated aggregation event for result: 4.234195"
1759310638804,"Successfully published result: 4.234195"
1759310651420,"SubQuery_1_query_registered"
1759310681608,"RStream result generated: 3.6747422 at timestamp: 1759310681608"
1759310681608,"Filtered out result due to timing: 3.6747422"
1759310702185,"SubQuery_1_query_registered"
1759311001683,"SubQuery_1_query_registered"
1759311092295,"SubQuery_1_query_registered"
1759311122673,"RStream result generated: 4.234195 at timestamp: 1759311122673"
1759311122673,"Filtered out result due to timing: 4.234195"
1759311152786,"RStream result generated: 4.234195 at timestamp: 1759311152786"
1759311152786,"Processing valid result: 4.234195"
1759311152787,"Generated aggregation event for result: 4.234195"
1759311152791,"Successfully published result: 4.234195"
1759311165411,"SubQuery_1_query_registered"
1759311195625,"RStream result generated: 3.6747422 at timestamp: 1759311195625"
1759311195625,"Filtered out result due to timing: 3.6747422"
1759311226015,"RStream result generated: 3.6747422 at timestamp: 1759311226015"
1759311226015,"Processing valid result: 3.6747422"
1759311226015,"Generated aggregation event for result: 3.6747422"
1759311226017,"Successfully published result: 3.6747422"
1759311238643,"SubQuery_1_query_registered"
