timestamp,message
1759310330914,"SuperQuery_query_registered"
1759310391527,"RStream result generated: 4.234195 at timestamp: 1759310391527"
1759310391527,"Processing valid result: 4.234195"
1759310391527,"Generated aggregation event for result: 4.234195"
1759310391528,"RStream result generated: 4.234195 at timestamp: 1759310391528"
1759310391528,"Filtered out result due to timing: 4.234195"
1759310391529,"Successfully published result: 4.234195"
1759310404043,"SuperQuery_query_registered"
1759310454393,"SuperQuery_query_registered"
1759310514918,"RStream result generated: 4.234195 at timestamp: 1759310514918"
1759310514918,"Processing valid result: 4.234195"
1759310514918,"Generated aggregation event for result: 4.234195"
1759310514919,"RStream result generated: 4.234195 at timestamp: 1759310514919"
1759310514919,"Filtered out result due to timing: 4.234195"
1759310514920,"Successfully published result: 4.234195"
1759310527520,"SuperQuery_query_registered"
1759310578291,"SuperQuery_query_registered"
1759310638802,"RStream result generated: 4.234195 at timestamp: 1759310638802"
1759310638802,"Processing valid result: 4.234195"
1759310638802,"Generated aggregation event for result: 4.234195"
1759310638804,"RStream result generated: 4.234195 at timestamp: 1759310638804"
1759310638804,"Filtered out result due to timing: 4.234195"
1759310638804,"Successfully published result: 4.234195"
1759310651421,"SuperQuery_query_registered"
1759310702185,"SuperQuery_query_registered"
1759311001684,"SuperQuery_query_registered"
1759311092296,"SuperQuery_query_registered"
1759311152791,"RStream result generated: 4.234195 at timestamp: 1759311152791"
1759311152791,"Processing valid result: 4.234195"
1759311152791,"Generated aggregation event for result: 4.234195"
1759311152792,"RStream result generated: 4.234195 at timestamp: 1759311152792"
1759311152792,"Filtered out result due to timing: 4.234195"
1759311152793,"Successfully published result: 4.234195"
1759311165411,"SuperQuery_query_registered"
1759311226017,"RStream result generated: 3.6747422 at timestamp: 1759311226017"
1759311226017,"Processing valid result: 3.6747422"
1759311226017,"Generated aggregation event for result: 3.6747422"
1759311226018,"RStream result generated: 3.6747422 at timestamp: 1759311226018"
1759311226018,"Filtered out result due to timing: 3.6747422"
1759311226018,"Successfully published result: 3.6747422"
1759311238643,"SuperQuery_query_registered"
