window_number,query_registered_at,first_data_received_at,expected_window_close,last_data_received_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,latency_from_last_data_ms,result_value
1,1775033276202,1775033310685,1775033396202,1775033340624,1775033340624,-55578,-90061,0,-10.789107683134588
1,1775033617276,1775033651747,1775033737276,1775033681694,1775033681694,-55582,-90053,0,-10.789107683134588
1,1775033906340,1775033940875,1775034026340,1775033970818,1775033970818,-55522,-90057,0,-10.789107683134588
1,1775034831684,1775034866141,1775034951684,1775034896075,1775034896075,-55609,-90066,0,-10.789107683134588
1,1775035151196,1775035185617,1775035271196,1775035215571,1775035215572,-55624,-90045,1,-10.789107683134588
1,1775035528466,1775035563036,1775035648466,1775035592984,1775035592985,-55481,-90051,1,-10.789107683134588
1,1775035778151,1775035812567,1775035898151,1775035842510,1775035842510,-55641,-90057,0,-10.789107683134588
1,1775039755529,1775039789942,1775039875529,1775039819857,1775039819858,-55671,-90084,1,-10.789107683134588
1,1775040010646,1775040045103,1775040130646,1775040075034,1775040075035,-55611,-90068,1,-10.789107683134588
1,1775210643967,1775210678247,1775210763967,1775210708200,1775210708201,-55766,-90046,1,-22.96599201970014
1,1775210856355,1775210890842,1775210976355,1775210920812,1775210920813,-55542,-90029,1,-22.96599201970014
1,1775211068883,1775211103342,1775211188883,1775211133360,1775211133361,-55522,-89981,1,-22.96599201970014
1,1775211281724,1775211316180,1775211401724,1775211346131,1775211346131,-55593,-90049,0,-23.001685485826357
1,1775211494244,1775211528561,1775211614244,1775211558612,1775211558613,-55631,-89948,1,-22.989269714285715
1,1775211706669,1775211740987,1775211826669,1775211771043,1775211771044,-55625,-89943,1,-22.989269714285715
1,1775211919299,1775211953608,1775212039299,1775211983663,1775211983664,-55635,-89944,1,-10.903063907563025
1,1775212131685,1775212166329,1775212251685,1775212196323,1775212196324,-55361,-90005,1,-10.905259206990936
1,1775212344416,1775212378936,1775212464416,1775212408887,1775212408888,-55528,-90048,1,-10.905259206990936
1,1775212556868,1775212591345,1775212676868,1775212621334,1775212621334,-55534,-90011,0,-22.98053452208856
1,1775212769472,1775212803924,1775212889472,1775212833883,1775212833884,-55588,-90040,1,-22.98053452208856
1,1775212981980,1775213016459,1775213101980,1775213046404,1775213046405,-55575,-90054,1,-22.98053452208856
1,1775213194841,1775213229215,1775213314841,1775213259163,1775213259164,-55677,-90051,1,-10.789107683134588
1,1775213407465,1775213441815,1775213527465,1775213471761,1775213471762,-55703,-90053,1,-10.789107683134588
1,1775213619927,1775213654369,1775213739927,1775213684321,1775213684322,-55605,-90047,1,-10.789107683134588
1,1775213832780,1775213866962,1775213952780,1775213896901,1775213896902,-55878,-90060,1,-10.789107683134588
1,1775214045249,1775214079597,1775214165249,1775214109534,1775214109535,-55714,-90062,1,-10.789107683134588
1,1775575763936,1775575798035,1775575883936,1775575827985,1775575827986,-55950,-90049,1,-10.343492923799234
