window_number,query_registered_at,first_data_received_at,expected_window_close,last_chunk_received_at,interval_trigger_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,interval_wait_ms,computation_ms,result_value
1,1766062876516,1766062911187,1766062996516,1766062941099,1766062941099,1766062941467,-55049,-89720,0,368,4.234195
1,1766063316746,1766063351424,1766063436746,1766063381328,1766063381328,1766063381704,-55042,-89720,0,376,-10.768810104744398
1,1766064244241,1766064275754,1766064364241,1766064305629,1766064305629,1766064306124,-58117,-89630,0,495,-10.768810104744398
2,1766064244241,1766064275754,1766064424241,1766064365641,1766064424279,1766064424314,73,-31440,58638,35,-13.170493911111112
3,1766064244241,1766064275754,1766064484241,1766064575779,1766064575779,1766064575783,91542,60029,0,4,-13.016210866519172
4,1766064244241,1766064275754,1766064544241,1766064635615,1766064664272,1766064664286,120045,88532,28657,14,-12.68233845636883
5,1766064244241,1766064275754,1766064604241,1766064725748,1766064725748,1766064725759,121518,90005,0,11,-11.002390672506502
6,1766064244241,1766064275754,1766064664241,1766064785790,1766064785790,1766064785794,121553,90040,0,4,-9.856456384841437
1,1766064799124,1766064815625,1766064919124,1766064845760,1766064859158,1766064859562,-59562,-76063,13398,404,-11.198064436458333
7,1766064244241,1766064275754,1766064724241,1766064860616,1766064860616,1766064860630,136389,104876,0,14,-10.953981657421377
8,1766064244241,1766064275754,1766064784241,1766064920629,1766064920629,1766064920634,136393,104880,0,5,-11.225611383103407
2,1766064799124,1766064815625,1766064979124,1766064920629,1766064920629,1766064920643,-58481,-74982,0,14,-11.225611383103407
9,1766064244241,1766064275754,1766064844241,1766064920643,1766065024278,1766065024288,180047,148534,103635,10,-14.241453261922269
10,1766064244241,1766064275754,1766064904241,1766065547892,1766065547892,1766065547898,643657,612144,0,6,-15.484935422043009
3,1766064799124,1766064815625,1766065039124,1766065547892,1766065547892,1766065547901,508777,492276,0,9,-15.484935422043009
1,1766065405592,1766065578111,1766065525592,1766065578111,1766065578111,1766065578482,52890,-119629,0,371,54.821810714583336
4,1766064799124,1766064815625,1766065099124,1766065610745,1766065610745,1766065610751,511627,495126,0,6,-11.208645125850692
11,1766064244241,1766064275754,1766064964241,1766065610745,1766065610745,1766065610751,646510,614997,0,6,-11.208645125850692
2,1766065405592,1766065578111,1766065585592,1766065638119,1766065645630,1766065645637,60045,-112474,7511,7,53.8798556160014
5,1766064799124,1766064815625,1766065159124,1766065674579,1766065674579,1766065674585,515461,498960,0,6,-11.067955172570489
12,1766064244241,1766064275754,1766065024241,1766065674579,1766065674579,1766065674585,650344,618831,0,6,-11.067955172570489
3,1766065405592,1766065578111,1766065645592,1766065728075,1766065728075,1766065728085,82493,-90026,0,10,54.79730455617862
13,1766064244241,1766064275754,1766065084241,1766065730801,1766065744287,1766065744292,660051,628538,13486,5,-12.48555386283457
6,1766064799124,1766064815625,1766065219124,1766065745656,1766065745656,1766065745666,526542,510041,0,10,-12.488921652225326
4,1766065405592,1766065578111,1766065705592,1766065788121,1766065788121,1766065788125,82533,-89986,0,4,55.43450921447963
14,1766064244241,1766064275754,1766065144241,1766065805640,1766065805640,1766065805644,661403,629890,0,4,-11.371664989139553
7,1766064799124,1766064815625,1766065279124,1766065805648,1766065819171,1766065819180,540056,523555,13523,9,-12.49910822744854
1,1766065799669,1766065831338,1766065919669,1766065831339,1766065859702,1766065860077,-59592,-91261,28363,375,54.821810714583336
15,1766064244241,1766064275754,1766065204241,1766065865716,1766065865716,1766065865724,661483,629970,0,8,-11.838059789294125
8,1766064799124,1766064815625,1766065339124,1766065880790,1766065880790,1766065880801,541677,525176,0,11,-11.568269343845945
2,1766065799669,1766065831338,1766065979669,1766065921248,1766065921242,1766065921255,-58414,-90083,-6,13,58.965614470335055
9,1766064799124,1766064815625,1766065399124,1766065954738,1766065954738,1766065954751,555627,539126,0,13,-13.715839596802054
16,1766064244241,1766064275754,1766065264241,1766065954745,1766065954739,1766065954753,690512,658999,-6,14,-13.715839596802054
3,1766065799669,1766065831338,1766066039669,1766066011351,1766066011343,1766066011356,-28313,-59982,-8,13,41.489293820233975
17,1766064244241,1766064275754,1766065324241,1766066000788,1766066044302,1766066044319,720078,688565,43514,17,-11.986679145211834
10,1766064799124,1766064815625,1766065459124,1766066000788,1766066059188,1766066059204,600080,583579,58400,16,-11.986679145211834
4,1766065799669,1766065831338,1766066099669,1766066011358,1766066099719,1766066099739,70,-31599,88361,20,50.93453895625
11,1766064799124,1766064815625,1766065519124,1766066122071,1766066122071,1766066122076,602952,586451,0,5,-10.91439788320158
18,1766064244241,1766064275754,1766065384241,1766066122071,1766066122071,1766066122078,737837,706324,0,7,-10.91439788320158
1,1766065955257,1766065985718,1766066075257,1766066135551,1766066135551,1766066135914,60657,30196,0,363,84.5
5,1766065799669,1766065831338,1766066159669,1766066161219,1766066161216,1766066161221,1552,-30117,-3,5,19.238379075999074
1,1766066122567,1766066135551,1766066242567,1766066165742,1766066182611,1766066182968,-59599,-72583,16869,357,97.83333333333333
19,1766064244241,1766064275754,1766065444241,1766066195667,1766066195667,1766066195672,751431,719918,0,5,-11.821005703314215
12,1766064799124,1766064815625,1766065579124,1766066195670,1766066195667,1766066195672,616548,600047,-3,5,-11.821005703314215
2,1766065955257,1766065985718,1766066135257,1766066212979,1766066212979,1766066212988,77731,47270,0,9,108.76923076923077
6,1766065799669,1766065831338,1766066219669,1766066221280,1766066221280,1766066221287,1618,-30051,0,7,35.64109978421239
20,1766064244241,1766064275754,1766065504241,1766066210723,1766066284305,1766066284320,780079,748566,73582,15,-11.976444125157563
13,1766064799124,1766064815625,1766065639124,1766066210723,1766066299192,1766066299212,660088,643587,88469,20,-12.313936614449116
2,1766066122567,1766066135551,1766066302567,1766066212979,1766066302613,1766066302629,62,-12922,89634,16,119.5
3,1766065955257,1766065985718,1766066195257,1766066212988,1766066315326,1766066315339,120082,89621,102338,13,119.75
7,1766065799669,1766065831338,1766066279669,1766066221288,1766066339723,1766066339736,60067,28398,118435,13,52.67183580672268
8,1766065799669,1766065831338,1766066339669,1766066591050,1766066591050,1766066591059,251390,219721,0,9,-5.606487583333333
4,1766065955257,1766065985718,1766066255257,1766066591120,1766066591120,1766066591126,335869,305408,0,6,70.5
3,1766066122567,1766066135551,1766066362567,1766066591121,1766066591121,1766066591128,228561,215577,0,7,70.5
14,1766064799124,1766064815625,1766065699124,1766066591128,1766066591128,1766066591133,892009,875508,0,5,-13.725922284126986
21,1766064244241,1766064275754,1766065564241,1766066591128,1766066591128,1766066591133,1026892,995379,0,5,-13.725922284126986
15,1766064799124,1766064815625,1766065759124,1766066645811,1766066659201,1766066659246,900122,883621,13390,45,-11.605536634079744
22,1766064244241,1766064275754,1766065624241,1766066660662,1766066660662,1766066660668,1036427,1004914,0,6,-10.676113270501535
4,1766066122567,1766066135551,1766066422567,1766066645578,1766066662619,1766066662625,240058,227074,17041,6,87.41666666666667
5,1766065955257,1766065985718,1766066315257,1766066662931,1766066662931,1766066662947,347690,317229,0,16,89.92307692307692
9,1766065799669,1766065831338,1766066399669,1766066671214,1766066671208,1766066671219,271550,239881,-6,11,34.87322773589744
16,1766064799124,1766064815625,1766065819124,1766066720646,1766066720646,1766066720656,901532,885031,0,10,-13.358411532410463
5,1766066122567,1766066135551,1766066482567,1766066722916,1766066722916,1766066722931,240364,227380,0,15,115
6,1766065955257,1766065985718,1766066375257,1766066722916,1766066735333,1766066735341,360084,329623,12417,8,113.875
23,1766064244241,1766064275754,1766065684241,1766066735697,1766066735697,1766066735701,1051460,1019947,0,4,-13.592357015863753
10,1766065799669,1766065831338,1766066459669,1766066731156,1766066759732,1766066759746,300077,268408,28576,14,50.586254682665874
6,1766066122567,1766066135551,1766066542567,1766066782930,1766066782930,1766066782938,240371,227387,0,8,114.05882352941177
24,1766064244241,1766064275754,1766065744241,1766066795862,1766066795862,1766066795868,1051627,1020114,0,6,-13.315767307279954
7,1766065955257,1766065985718,1766066435257,1766066795857,1766066795857,1766066795871,360614,330153,0,14,113.33333333333333
17,1766064799124,1766064815625,1766065879124,1766066795862,1766066795862,1766066795871,916747,900246,0,9,-13.315767307279954
11,1766065799669,1766065831338,1766066519669,1766066821375,1766066821369,1766066821380,301711,270042,-6,11,55.285841370817174
