timestamp,message
1759311550505,"fetching_query_registered"
1759311612552,"RStream result generated: 4.234195 at timestamp: 1759311612552"
1759311612552,"Processing valid result: 4.234195"
1759311612552,"Generated aggregation event for result: 4.234195"
1759311612553,"RStream result generated: 4.234195 at timestamp: 1759311612553"
1759311612553,"Filtered out result due to timing: 4.234195"
1759311612554,"Successfully published result: 4.234195"
1759311672682,"RStream result generated: 1.926378 at timestamp: 1759311672682"
1759311672682,"Processing valid result: 1.926378"
1759311672682,"Generated aggregation event for result: 1.926378"
1759311672682,"RStream result generated: 4.234195 at timestamp: 1759311672682"
1759311672682,"Filtered out result due to timing: 4.234195"
1759311672683,"Successfully published result: 1.926378"
1759311704230,"Process terminated, cleaning up..."
