window_number,query_registered_at,first_data_received_at,expected_window_close,last_obs_received_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,latency_from_last_obs_ms,result_value
1,1766062449113,1766062453823,1766062569113,1766062514189,1766062514193,-54920,-59630,4,4.234195
1,1766062698058,1766062702680,1766062818058,1766062762861,1766062763010,-55048,-59670,149,4.234195
1,1766063138235,1766063142932,1766063258235,1766063203105,1766063203254,-54981,-59678,149,-10.767084449790795
1,1766063760709,1766063762409,1766063880709,1766063822558,1766063822741,-57968,-59668,183,-10.767084449790795
2,1766063760709,1766063762409,1766063940709,1766063882788,1766063882807,-57902,-59602,19,-8.976276550906555
1,1766063990638,1766063992328,1766064110638,1766064052679,1766064052763,-57875,-59565,84,-10.767084449790795
1,1766064545632,1766064547329,1766064665632,1766064607649,1766064607659,-57973,-59670,10,-10.767084449790795
2,1766064545632,1766064547329,1766064725632,1766064667702,1766064667725,-57907,-59604,23,-8.976276550906555
1,1766065546063,1766065547841,1766065666063,1766065608177,1766065608216,-57847,-59625,39,-10.767084449790795
2,1766065546063,1766065547841,1766065726063,1766065668230,1766065668300,-57763,-59541,70,-8.976276550906555
1,1766066589298,1766066591014,1766066709298,1766066651288,1766066651293,-58005,-59721,5,-10.767084449790795
2,1766066589298,1766066591014,1766066769298,1766066711317,1766066711364,-57934,-59650,47,-8.976276550906555
1,1766067144938,1766067146717,1766067264938,1766067206992,1766067207033,-57905,-59684,41,-10.767084449790795
2,1766067144938,1766067146717,1766067324938,1766067267037,1766067267201,-57737,-59516,164,-8.976276550906555
1,1766085333266,1766085334912,1766085453266,1766085395086,1766085395236,-58030,-59676,150,-10.767084449790795
2,1766085333266,1766085334912,1766085513266,1766085455172,1766085455363,-57903,-59549,191,-8.976276550906555
1,1766088384544,1766088386249,1766088504544,1766088446433,1766088446585,-57959,-59664,152,-10.745555129436326
2,1766088384544,1766088386249,1766088564544,1766088506507,1766088506692,-57852,-59557,185,-8.976276550906555
