Frequency,Approach,Windows,Result_Value,MAPE_vs_Fetching,Absolute_Error,Avg_CPU_User,Avg_CPU_System,Avg_Memory_MB,Peak_Memory_MB
0.1,Fetching,1,51.09697785860058,0.0,0.0,4194.66,1490.85,47.5528,109.50
0.1,Approximation,1,50.06941993071622,2.010995504915957,1.0275579278843594,3426.65,1019.14,48.1724,73.74
0.1,Chunked,1,50.07163050837989,2.006669265368512,1.0253473502206916,3440.92,1017.96,48.5069,73.79
0.5,Fetching,1,50.059040554393306,0.0,0.0,3601.56,1210.23,45.9601,109.50
0.5,Approximation,1,50.09867015030238,0.07916571206756469,0.03962959590907644,3414.62,963.38,48.3528,74.67
0.5,Chunked,1,50.08681987162791,0.05549310759246207,0.027779317234603695,3405.49,1003.23,48.353,73.79
1.0,Fetching,1,50.02524230362117,0.0,0.0,3393.79,1106.89,45.4429,109.50
1.0,Approximation,1,50.07060317346436,0.09067596228296532,0.04536086984319354,3481.1,955.374,47.6211,75.17
1.0,Chunked,1,50.03820560372093,0.02591351786181054,0.012963300099762876,3485.04,985.473,47.8689,76.57
1.5,Fetching,1,50.15734920711297,0.0,0.0,3272.76,1049.1,44.7801,109.50
1.5,Approximation,1,49.913305935155236,0.4865553619072185,0.2440432719577359,3443.94,947.537,47.7529,75.17
1.5,Chunked,1,50.03752286976744,0.23890085748099324,0.11982633734552905,3490.21,989.346,48.1008,76.57
2.0,Fetching,1,49.9972268559499,0.0,0.0,3203.21,1010.09,44.4284,109.50
2.0,Approximation,1,49.968076697245465,0.05830355109178075,0.029150158704432272,3390.23,925.613,47.9428,75.17
2.0,Chunked,1,50.015309888268156,0.03616807062191504,0.01808303231825903,3482.44,977.243,48.1783,76.57
