timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770211043872,282.78,80.06,155500544,70828032,46472928,44.32,4119532
1770211043972,282.89,80.11,155500544,70828032,46477736,44.32,4119588
1770211044073,283.09,80.17,155500544,70828032,46480400,44.33,4119588
1770211044174,283.78,80.27,155516928,70828032,46510584,44.36,4119588
1770211044275,284.16,80.36,155516928,70828032,46513224,44.36,4119588
1770211044376,284.41,80.42,155516928,70828032,46515656,44.36,4119588
1770211044477,284.77,80.53,155516928,70828032,46517960,44.36,4119588
1770211044577,285.13,80.67,155516928,70828032,46520264,44.37,4119588
1770211044678,285.60,80.80,155533312,70828032,46522568,44.37,4119588
1770211044779,286.01,80.90,155533312,70828032,46524968,44.37,4119588
1770211044880,286.26,80.99,155549696,70828032,46527368,44.37,4119588
1770211044981,286.58,81.13,155549696,70828032,46529496,44.37,4119588
1770211045082,287.15,81.28,155549696,70828032,46531944,44.38,4119588
1770211045183,287.58,81.45,155549696,70828032,46533992,44.38,4119588
1770211045283,287.90,81.60,155549696,70828032,46536040,44.38,4119588
1770211045384,288.03,81.67,155549696,70828032,46538088,44.38,4119588
1770211045485,292.58,82.34,155860992,71090176,47113496,44.93,4129114
1770211045586,292.71,82.39,155860992,71090176,47115568,44.93,4129114
1770211045686,296.50,83.49,155992064,71352320,47476552,45.28,4129783
1770211045788,298.83,84.33,156041216,71352320,47621320,45.42,4130448
1770211045888,299.20,84.48,156041216,71352320,47623392,45.42,4130448
1770211045990,305.00,86.72,156106752,71352320,47905992,45.69,4139974
1770211046090,305.32,86.84,156106752,71352320,47908064,45.69,4139974
1770211046190,308.41,88.15,156139520,71352320,48049296,45.82,4140643
1770211046292,310.40,88.99,156172288,71352320,48188360,45.96,4141308
1770211046391,310.79,89.16,156172288,71352320,48190432,45.96,4141308
1770211046493,316.61,91.14,156270592,71352320,48468608,46.22,4150834
1770211046594,316.98,91.28,156270592,71352320,48470680,46.23,4150834
1770211046694,319.78,92.43,156336128,71614464,48646072,46.39,4151503
1770211046795,325.59,93.70,156647424,71876608,49199632,46.92,4152168
1770211046896,325.86,93.84,156647424,71876608,49201704,46.92,4152168
1770211046997,330.25,95.81,156696576,71876608,49479144,47.19,4161694
1770211047097,330.55,95.97,156696576,71876608,49481216,47.19,4161694
1770211047197,332.03,97.19,156712960,71876608,49762384,47.46,4163028
1770211047298,332.13,97.24,156712960,71876608,49764456,47.46,4163028
1770211047399,332.32,97.31,156712960,71876608,49766504,47.46,4163028
1770211047500,336.38,99.50,156729344,71876608,50044072,47.73,4172554
1770211047601,336.63,99.62,156729344,71876608,50046192,47.73,4172554
1770211047701,339.73,101.60,156729344,71876608,50323432,47.99,4173888
1770211047803,339.92,101.69,156729344,71876608,50325520,47.99,4173888
1770211047903,340.31,101.90,156729344,71876608,50327584,48.00,4173888
1770211048004,354.50,109.09,164397056,79740928,45978120,43.85,4183416
1770211048104,354.78,109.20,164397056,79740928,45980208,43.85,4183416
1770211048204,357.18,110.36,164397056,79740928,46120416,43.98,4124672
1770211048305,358.56,111.05,164397056,79740928,46259584,44.12,4125338
1770211048406,358.89,111.21,164397056,79740928,46261672,44.12,4125338
1770211048507,364.50,113.38,164413440,79740928,46539344,44.38,4134866
1770211048608,364.77,113.49,164413440,79740928,46541432,44.39,4134866
1770211048709,368.21,115.42,164413440,79740928,46818752,44.65,4136202
1770211048810,368.42,115.53,164413440,79740928,46820840,44.65,4136202
1770211048912,368.76,115.70,164413440,79740928,46822904,44.65,4136202
1770211049012,372.07,117.57,164413440,79740928,47100552,44.92,4145730
1770211049113,372.36,117.69,164413440,79740928,47102640,44.92,4145730
1770211049213,376.68,119.67,164429824,79740928,47379968,45.19,4147066
1770211049314,376.86,119.74,164429824,79740928,47382056,45.19,4147066
1770211049415,377.07,119.83,164429824,79740928,47384120,45.19,4147066
1770211049516,381.71,121.79,164429824,79740928,47661784,45.45,4156594
1770211049617,382.04,121.95,164429824,79740928,47663872,45.46,4156594
1770211049717,385.83,123.93,164429824,79740928,47941232,45.72,4157930
1770211049818,386.10,124.03,164429824,79740928,47943376,45.72,4157930
1770211049919,386.41,124.17,164429824,79740928,47945440,45.72,4157930
1770211050021,391.28,126.39,164446208,79740928,48223152,45.99,4167458
1770211050121,391.61,126.53,164446208,79740928,48225240,45.99,4167458
1770211050221,399.01,128.76,164511744,79740928,48503136,46.26,4168794
1770211050321,399.85,128.85,164511744,79740928,48505416,46.26,4168794
1770211050422,400.18,129.01,164511744,79740928,48507480,46.26,4168794
1770211050522,403.65,131.07,164511744,79740928,48785080,46.53,4178322
1770211050624,403.95,131.18,164511744,79740928,48787168,46.53,4178322
1770211050725,408.50,133.04,164511744,79740928,49085616,46.81,4179658
1770211050826,408.70,133.10,164511744,79740928,49087704,46.81,4179658
1770211050927,409.03,133.24,164511744,79740928,49089768,46.82,4179658
1770211051027,412.59,135.15,164511744,79740928,49367328,47.08,4189186
1770211051128,412.93,135.29,164511744,79740928,49369416,47.08,4189186
1770211051228,418.71,137.41,164544512,79740928,49646752,47.35,4190522
1770211051329,418.92,137.48,164544512,79740928,49648840,47.35,4190522
1770211051430,419.22,137.62,164544512,79740928,49650904,47.35,4190522
1770211051532,423.37,139.73,164560896,79740928,49928528,47.62,4200050
1770211051633,423.70,139.86,164560896,79740928,49930616,47.62,4200050
1770211051734,428.15,141.92,164560896,79740928,50208016,47.88,4201386
1770211051835,428.38,142.01,164560896,79740928,50210104,47.88,4201386
1770211051936,504.59,154.61,132005888,46448640,39660592,37.82,4118831
1770211052037,513.31,156.47,132005888,46448640,39995832,38.14,4128359
1770211052137,513.62,156.60,132005888,46448640,39997888,38.14,4128359
1770211052238,517.00,158.46,132005888,46448640,40278416,38.41,4129695
1770211052340,517.16,158.51,132005888,46448640,40280472,38.41,4129695
1770211052441,517.48,158.65,132005888,46448640,40282504,38.42,4129695
1770211052542,597.16,166.72,128401408,43827200,39598640,37.76,4118831
1770211052642,597.51,166.82,128401408,43827200,39604328,37.77,4118831
1770211052743,606.35,168.65,128696320,43827200,39972496,38.12,4120167
1770211052844,606.61,168.76,128696320,43827200,39974504,38.12,4120167
1770211052945,606.83,168.86,128696320,43827200,39976488,38.12,4120167
1770211053046,610.49,170.92,128958464,43827200,40243680,38.38,4129695
1770211053147,682.86,175.62,128516096,43565056,39720080,37.88,4118831
1770211053248,692.35,177.42,128827392,43565056,40169696,38.31,4120167
1770211053349,692.64,177.53,128827392,43565056,40171704,38.31,4120167
1770211053448,692.96,177.70,128827392,43565056,40173688,38.31,4120167
1770211053550,694.81,179.18,129073152,43565056,40429976,38.56,4129695
1770211053650,695.02,179.29,129089536,43565056,40432136,38.56,4129695
1770211053750,698.23,181.12,129318912,43565056,40688200,38.80,4131031
1770211053851,699.19,181.53,129662976,46710784,39821304,37.98,4131031
1770211053952,699.44,181.66,129662976,46710784,39823288,37.98,4131031
1770211054054,705.94,183.79,129941504,46710784,40078744,38.22,4137887
1770211054154,706.25,183.91,129941504,46710784,40080752,38.22,4137887
1770211054255,711.62,186.09,130187264,46710784,40335144,38.47,4139223
1770211054355,711.82,186.16,130187264,46710784,40337152,38.47,4139223
1770211054456,712.12,186.28,130187264,46710784,40339136,38.47,4139223
1770211054558,721.48,188.41,130482176,46710784,40726920,38.84,4148751
1770211054657,721.71,188.51,130482176,46710784,40728928,38.84,4148751
1770211054759,724.93,190.47,130711552,46710784,40981328,39.08,4150087
1770211054860,725.22,190.60,130727936,46710784,40983336,39.08,4150087
1770211054961,725.55,190.73,130727936,46710784,40985320,39.09,4150087
1770211055062,729.14,192.83,130973696,46710784,41237952,39.33,4159615
1770211055163,729.40,192.95,130973696,46710784,41239960,39.33,4159615
1770211055263,732.65,194.85,131219456,46710784,41492352,39.57,4160951
1770211055364,732.94,194.97,131219456,46710784,41494360,39.57,4160951
1770211055465,733.23,195.10,131219456,46710784,41496344,39.57,4160951
1770211055566,736.82,197.18,131481600,46710784,41759024,39.82,4170479
1770211055667,737.15,197.37,131481600,46710784,41761032,39.83,4170479
1770211055768,743.03,199.46,131579904,46710784,40395096,38.52,4129695
1770211055869,743.27,199.56,131579904,46710784,40397080,38.53,4129695
1770211055969,743.58,199.69,131579904,46710784,40399064,38.53,4129695
1770211056070,747.60,201.84,131629056,46710784,40651800,38.77,4139223
1770211056171,747.88,201.97,131629056,46710784,40653784,38.77,4139223
1770211056272,751.11,203.96,131629056,46710784,40906104,39.01,4140559
1770211056373,751.28,204.06,131629056,46710784,40908112,39.01,4140559
1770211056473,751.50,204.16,131629056,46710784,40910096,39.01,4140559
1770211056575,765.29,206.37,131973120,46710784,41163976,39.26,4150087
1770211056676,765.53,206.49,131973120,46710784,41165960,39.26,4150087
1770211056776,768.68,208.55,132218880,46710784,41414816,39.50,4151423
1770211056877,768.86,208.63,132218880,46710784,41416824,39.50,4151423
1770211056978,769.10,208.76,132218880,46710784,41418808,39.50,4151423
1770211057079,774.17,210.77,132464640,46710784,41668120,39.74,4160951
1770211057180,774.41,210.88,132464640,46710784,41670104,39.74,4160951
1770211057281,777.47,212.83,132710400,46710784,41918952,39.98,4162287
1770211057382,777.64,212.94,132710400,46710784,41920960,39.98,4162287
1770211057484,777.87,213.05,132710400,46710784,41922944,39.98,4162287
1770211057585,783.08,214.59,132775936,46710784,40677640,38.79,4129695
1770211057686,783.32,214.69,132775936,46710784,40679624,38.80,4129695
1770211057787,790.02,216.62,132808704,46710784,40929032,39.03,4131031
1770211057888,790.24,216.73,132808704,46710784,40931016,39.03,4131031
1770211057988,790.50,216.87,132808704,46710784,40933000,39.04,4131031
1770211058090,794.60,218.65,132808704,46710784,41177248,39.27,4140559
1770211058190,794.91,218.75,132808704,46710784,41179232,39.27,4140559
1770211058291,800.11,220.70,132808704,46710784,41423096,39.50,4141895
1770211058392,800.32,220.81,132808704,46710784,41425104,39.51,4141895
1770211058494,800.60,220.95,132808704,46710784,41427088,39.51,4141895
1770211058594,807.35,222.92,132841472,46710784,41675720,39.75,4151423
1770211058694,807.61,223.04,132841472,46710784,41677704,39.75,4151423
1770211058795,811.02,224.91,132841472,46710784,41924448,39.98,4152759
1770211058896,811.22,224.99,132841472,46710784,41926456,39.98,4152759
1770211058998,811.50,225.13,132841472,46710784,41928440,39.99,4152759
1770211059098,816.60,227.04,132841472,46710784,42180376,40.23,4162287
1770211059199,816.87,227.17,132841472,46710784,42182360,40.23,4162287
1770211059300,824.50,228.78,132841472,46710784,40907416,39.01,4129695
1770211059402,824.69,228.88,132841472,46710784,40909400,39.01,4129695
1770211059502,824.97,229.01,132841472,46710784,40911384,39.02,4129695
1770211059603,830.10,231.00,132841472,46710784,41154720,39.25,4139223
1770211059704,830.42,231.15,132841472,46710784,41156704,39.25,4139223
1770211059805,834.07,233.21,132841472,46710784,41403512,39.49,4140559
1770211059906,834.39,233.35,132841472,46710784,41405496,39.49,4140559
1770211060007,834.74,233.51,132841472,46710784,41407480,39.49,4140559
1770211060108,837.81,235.33,132841472,46710784,41654856,39.73,4150087
1770211060209,838.14,235.48,132841472,46710784,41656840,39.73,4150087
1770211060310,842.48,237.43,132841472,46710784,41903168,39.96,4151423
1770211060412,842.65,237.49,132841472,46710784,41905152,39.96,4151423
1770211060511,842.93,237.61,132841472,46710784,41907136,39.97,4151423
1770211060613,845.99,239.51,132841472,46710784,42150520,40.20,4160951
1770211060714,846.32,239.66,132841472,46710784,42152504,40.20,4160951
1770211060815,857.56,241.76,132841472,46710784,42410656,40.45,4162287
1770211060916,857.76,241.85,132841472,46710784,42412640,40.45,4162287
1770211061017,858.02,241.97,132841472,46710784,42414624,40.45,4162287
1770211061119,863.91,243.64,132841472,46710784,41133888,39.23,4129695
1770211061220,864.36,243.83,132841472,46710784,41135872,39.23,4129695
1770211061322,872.18,245.94,132841472,46710784,41381400,39.46,4131031
1770211061423,872.50,246.06,132841472,46710784,41383384,39.47,4131031
1770211061525,872.83,246.22,132841472,46710784,41385368,39.47,4131031
1770211061626,883.63,248.30,132857856,46710784,41700328,39.77,4140559
1770211061727,883.91,248.43,132857856,46710784,41702312,39.77,4140559
1770211061828,913.83,251.21,133251072,46710784,41943376,40.00,4141895
1770211061930,913.98,251.28,133251072,46710784,41945360,40.00,4141895
1770211062029,914.17,251.41,133251072,46710784,41947344,40.00,4141895
1770211062130,922.65,253.76,133267456,46710784,42189952,40.24,4151423
1770211062231,922.92,253.91,133267456,46710784,42191936,40.24,4151423
1770211062332,928.94,256.33,133267456,46710784,42429232,40.46,4152759
1770211062433,929.17,256.42,133267456,46710784,42431216,40.47,4152759
1770211062534,929.37,256.51,133267456,46710784,42433200,40.47,4152759
1770211062635,935.11,258.86,133283840,46710784,42670872,40.69,4162287
1770211062735,935.41,258.99,133283840,46710784,42672856,40.70,4162287
1770211062836,955.21,261.00,133365760,46710784,41408472,39.49,4163623
1770211062937,955.35,261.06,133365760,46710784,41410480,39.49,4163623
1770211063038,955.52,261.14,133365760,46710784,41412464,39.49,4163623
1770211063139,959.26,263.43,133398528,46710784,41650320,39.72,4138553
1770211063240,959.55,263.54,133398528,46710784,41652328,39.72,4138553
1770211063341,963.01,265.50,133398528,46710784,41889640,39.95,4139889
1770211063442,963.31,265.64,133398528,46710784,41891648,39.95,4139889
1770211063543,963.59,265.77,133398528,46710784,41893632,39.95,4139889
1770211063644,966.30,268.00,133398528,46710784,42131184,40.18,4149417
1770211063746,966.61,268.12,133398528,46710784,42133192,40.18,4149417
1770211063846,970.79,270.15,133398528,46710784,42370488,40.41,4150753
1770211063948,971.03,270.25,133398528,46710784,42372496,40.41,4150753
1770211064049,971.31,270.37,133398528,46710784,42374480,40.41,4150753
1770211064150,983.06,273.03,133414912,46710784,42632752,40.66,4160281
1770211064252,983.34,273.17,133414912,46710784,42634760,40.66,4160281
1770211064353,988.09,275.30,133414912,46710784,42872592,40.89,4161617
1770211064454,988.34,275.43,133414912,46710784,42874600,40.89,4161617
1770211064555,990.03,276.64,133414912,46710784,42994912,41.00,4170479
1770211064656,993.06,277.80,133971968,51953664,41659208,39.73,4171145
1770211064758,993.36,277.94,133971968,51953664,41661216,39.73,4171145
1770211064859,1003.09,280.27,133988352,51953664,42137592,40.19,4130361
1770211064960,1003.39,280.40,133988352,51953664,42139600,40.19,4130361
1770211065061,1005.72,281.53,133988352,51953664,42259912,40.30,4139223
1770211065162,1006.93,282.29,134004736,51953664,42379024,40.42,4139889
1770211065262,1007.24,282.44,134004736,51953664,42381008,40.42,4139889
1770211065363,1011.32,284.48,134004736,51953664,42618320,40.64,4141225
1770211065464,1011.59,284.59,134004736,51953664,42620328,40.65,4141225
1770211065564,1015.20,285.88,134004736,51953664,42740640,40.76,4150087
1770211065665,1016.99,286.73,134004736,51953664,42859760,40.87,4150753
1770211065767,1017.27,286.86,134004736,51953664,42861744,40.88,4150753
1770211065868,1022.37,288.94,134004736,51953664,43099360,41.10,4152089
1770211065969,1022.61,289.05,134004736,51953664,43101368,41.10,4152089
1770211066070,1026.65,290.90,134004736,51953664,43338240,41.33,4161617
1770211066171,1037.24,291.02,134037504,51953664,43343064,41.34,4161617
1770211066272,1037.44,291.09,134037504,51953664,43345048,41.34,4161617
1770211066373,1039.77,293.15,134053888,51953664,43579080,41.56,4162953
1770211066474,1039.91,293.27,134053888,51953664,43581088,41.56,4162953
1770211066575,1042.82,295.41,134283264,51953664,43815248,41.79,4172481
1770211066676,1042.98,295.50,134283264,51953664,43817288,41.79,4172481
1770211066777,1043.12,295.58,134283264,51953664,43819272,41.79,4172481
1770211066878,1045.32,297.60,134594560,51953664,44053256,42.01,4173817
1770211066978,1045.44,297.65,134594560,51953664,44055264,42.01,4173817
1770211067078,1047.61,299.51,134774784,51953664,44289512,42.24,4183345
1770211067179,1047.80,299.62,134774784,51953664,44291520,42.24,4183345
1770211067280,1047.97,299.69,108232704,51953664,44293504,42.24,4183345
1770211067381,1058.95,301.43,99745792,51953664,44562176,42.50,4184681
1770211067482,1059.14,301.59,99745792,51953664,44564176,42.50,4184681
1770211067583,1061.49,303.61,96370688,51953664,44791600,42.72,4194209
1770211067684,1061.66,303.66,96370688,51953664,44793600,42.72,4194209
1770211067785,1061.97,303.80,96370688,51953664,44795576,42.72,4194209
1770211067887,1065.23,306.02,96583680,51953664,45022816,42.94,4195545
1770211067987,1065.44,306.11,96600064,51953664,45024816,42.94,4195545
1770211068088,1068.86,308.35,96813056,51953664,45252264,43.16,4205073
1770211068189,1069.06,308.42,96813056,51953664,45254264,43.16,4205073
1770211068290,1069.36,308.56,96813056,51953664,45256240,43.16,4205073
1770211068390,1072.58,310.67,97026048,51953664,45483496,43.38,4206409
1770211068491,1072.86,310.79,97026048,51953664,45485496,43.38,4206409
1770211068592,1078.35,313.26,97468416,52477952,42525504,40.56,4215937
1770211068694,1078.64,313.37,97468416,52477952,42527504,40.56,4215937
1770211068794,1078.94,313.50,97468416,52477952,42529480,40.56,4215937
1770211068895,1081.21,314.96,97435648,52477952,42756664,40.78,4130361
1770211068997,1081.46,315.05,97435648,52477952,42758640,40.78,4130361
1770211069097,1084.86,317.17,97435648,52477952,42986096,40.99,4139889
1770211069198,1085.08,317.25,97435648,52477952,42988072,41.00,4139889
1770211069299,1085.38,317.36,97435648,52477952,42990048,41.00,4139889
1770211069399,1088.72,319.40,97452032,52477952,43217256,41.22,4141225
1770211069501,1089.01,319.52,97452032,52477952,43219232,41.22,4141225
1770211069601,1093.51,321.62,97452032,52477952,43446864,41.43,4150753
1770211069701,1093.72,321.70,97452032,52477952,43448840,41.44,4150753
1770211069802,1094.02,321.84,97452032,52477952,43450816,41.44,4150753
1770211069903,1097.04,323.87,97452032,52477952,43677352,41.65,4152089
1770211070004,1097.33,324.00,97452032,52477952,43679328,41.66,4152089
