timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770210799765,277.53,79.31,154681344,70418432,47980544,45.76,4119532
1770210799866,277.64,79.36,154681344,70418432,47985352,45.76,4119588
1770210799968,277.74,79.40,154681344,70418432,47987680,45.76,4119588
1770210800069,278.39,79.49,154714112,70418432,48017720,45.79,4119588
1770210800169,278.72,79.55,154714112,70418432,48020360,45.80,4119588
1770210800269,278.95,79.62,154714112,70418432,48022792,45.80,4119588
1770210800371,279.19,79.70,154714112,70418432,48025096,45.80,4119588
1770210800472,279.55,79.85,154714112,70418432,48027400,45.80,4119588
1770210800572,280.01,79.98,154714112,70418432,48029704,45.80,4119588
1770210800673,281.05,80.13,154714112,70418432,48032104,45.81,4119588
1770210800773,281.56,80.31,154730496,70418432,48034504,45.81,4119588
1770210800874,281.92,80.44,154730496,70418432,48036632,45.81,4119588
1770210800975,282.26,80.58,154730496,70418432,48038680,45.81,4119588
1770210801075,282.55,80.69,154730496,70418432,48040728,45.82,4119588
1770210801177,282.80,80.80,154730496,70418432,48042816,45.82,4119588
1770210801278,282.98,80.89,154746880,70680576,48302608,46.06,4119588
1770210801379,287.60,81.69,155074560,70680576,48620368,46.37,4129114
1770210801480,287.68,81.74,155074560,70680576,48622440,46.37,4129114
1770210801580,294.28,83.82,155254784,70942720,49122000,46.85,4130448
1770210801681,294.47,83.89,155254784,70942720,49124072,46.85,4130448
1770210801780,294.84,84.03,155254784,70942720,49126120,46.85,4130448
1770210801882,301.02,86.14,155303936,71204864,49666464,47.37,4139974
1770210801982,301.40,86.28,155303936,71204864,49668536,47.37,4139974
1770210802084,306.30,88.30,155353088,71204864,49946760,47.63,4141308
1770210802185,306.49,88.37,155353088,71204864,49948832,47.63,4141308
1770210802285,306.85,88.51,155353088,71204864,49950880,47.64,4141308
1770210802387,311.93,90.15,155500544,71467008,50261920,47.93,4150834
1770210802487,312.22,90.27,155500544,71467008,50263992,47.94,4150834
1770210802587,317.36,92.42,155566080,71729152,50758728,48.41,4152168
1770210802688,322.91,92.80,155828224,71729152,50785760,48.43,4152168
1770210802788,323.15,92.94,155828224,71729152,50787808,48.44,4152168
1770210802889,337.18,96.41,158089216,73711616,46398664,44.25,4161694
1770210802990,337.46,96.53,158089216,73711616,46400736,44.25,4161694
1770210803090,343.91,98.80,158121984,73711616,46682048,44.52,4125336
1770210803190,344.11,98.87,158121984,73711616,46684120,44.52,4125336
1770210803292,344.49,99.02,158121984,73711616,46686168,44.52,4125336
1770210803393,348.53,101.14,158121984,73711616,46963752,44.79,4134862
1770210803494,348.86,101.28,158121984,73711616,46965872,44.79,4134862
1770210803593,352.24,103.08,158121984,73711616,47243136,45.05,4136196
1770210803695,352.41,103.16,158138368,73711616,47245224,45.06,4136196
1770210803796,352.66,103.28,158138368,73711616,47247288,45.06,4136196
1770210803897,356.60,105.13,158138368,73711616,47535256,45.33,4145724
1770210803998,356.81,105.23,158138368,73711616,47537344,45.34,4145724
1770210804098,360.99,107.33,158154752,73711616,47814776,45.60,4147060
1770210804198,361.12,107.40,158154752,73711616,47816864,45.60,4147060
1770210804299,361.29,107.50,158154752,73711616,47818928,45.60,4147060
1770210804400,366.19,109.43,158154752,73711616,48096648,45.87,4156588
