timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770257801967,291.56,76.05,155467776,71090176,46572920,44.42,4119532
1770257802068,291.88,76.13,155467776,71090176,46578064,44.42,4119588
1770257802169,292.45,76.19,155484160,71090176,46608240,44.45,4119588
1770257802271,292.60,76.25,155484160,71090176,46610576,44.45,4119588
1770257802373,292.93,76.31,155484160,71090176,46613344,44.45,4119588
1770257802475,293.10,76.35,155484160,71090176,46615648,44.46,4119588
1770257802577,293.40,76.41,155484160,71090176,46617952,44.46,4119588
1770257802679,293.77,76.48,155484160,71090176,46620256,44.46,4119588
1770257802781,294.40,76.59,155500544,71090176,46622560,44.46,4119588
1770257802883,295.05,76.67,155500544,71090176,46624960,44.47,4119588
1770257802984,295.44,76.76,155516928,71090176,46627360,44.47,4119588
1770257803086,295.88,76.82,155516928,71090176,46629888,44.47,4119588
1770257803188,296.22,76.89,155516928,71090176,46631936,44.47,4119588
1770257803289,296.54,76.95,155516928,71090176,46633984,44.47,4119588
1770257803392,296.91,77.04,155516928,71090176,46636032,44.48,4119588
1770257803494,297.26,77.11,155516928,71090176,46638080,44.48,4119588
1770257803595,297.78,77.21,155533312,71090176,46640160,44.48,4119588
1770257803698,298.12,77.27,155533312,71090176,46642208,44.48,4119588
1770257803800,298.44,77.34,155533312,71090176,46644256,44.48,4119588
1770257803902,298.76,77.41,155533312,71090176,46646304,44.49,4119588
1770257804004,299.08,77.48,155533312,71090176,46648352,44.49,4119588
1770257804106,299.40,77.54,155533312,71090176,46650400,44.49,4119588
1770257804206,299.72,77.61,155533312,71090176,46652448,44.49,4119588
1770257804309,300.03,77.68,155533312,71090176,46654496,44.49,4119588
1770257804411,300.36,77.75,155533312,71090176,46656544,44.50,4119588
1770257804512,300.59,77.82,155533312,71090176,46658592,44.50,4119588
1770257804615,305.49,78.52,155860992,71090176,47222048,45.03,4129114
1770257804716,305.67,78.59,155860992,71090176,47224120,45.04,4129114
1770257804817,305.81,78.63,155860992,71090176,47226168,45.04,4129114
1770257804919,316.19,80.54,156401664,71614464,48009552,45.79,4130448
1770257805022,316.52,80.62,156401664,71614464,48011624,45.79,4130448
1770257805124,322.20,83.42,156467200,71614464,48294528,46.06,4139974
1770257805226,322.90,83.60,156467200,71614464,48300464,46.06,4139974
1770257805327,323.23,83.68,156467200,71614464,48302512,46.06,4139974
1770257805429,327.90,85.33,156549120,71876608,48613512,46.36,4141308
1770257805532,328.25,85.42,156549120,71876608,48615584,46.36,4141308
1770257805632,334.31,87.05,156663808,71876608,48893536,46.63,4150834
1770257805734,334.60,87.12,156663808,71876608,48895656,46.63,4150834
1770257805837,334.88,87.21,156663808,71876608,48897720,46.63,4150834
1770257805938,339.94,88.94,156712960,72138752,49391256,47.10,4152168
1770257806041,340.24,89.01,156712960,72138752,49393344,47.11,4152168
1770257806142,344.95,90.63,156745728,72138752,49670752,47.37,4161694
1770257806244,345.24,90.71,156745728,72138752,49672840,47.37,4161694
1770257806346,347.78,91.53,156762112,72138752,49812952,47.51,4162363
1770257806448,350.09,92.32,156762112,72138752,49952136,47.64,4163028
1770257806551,350.42,92.40,156762112,72138752,49954224,47.64,4163028
1770257806653,355.10,93.92,156762112,72138752,50231800,47.90,4172554
1770257806755,355.29,94.00,156778496,72138752,50233888,47.91,4172554
1770257806857,356.59,94.70,156778496,72138752,50374072,48.04,4173223
1770257806959,357.95,95.41,156778496,72138752,50513176,48.17,4173888
1770257807061,358.14,95.46,156778496,72138752,50515264,48.18,4173888
1770257807163,362.73,97.05,156811264,72138752,50803256,48.45,4183416
1770257807266,363.03,97.12,156811264,72138752,50805344,48.45,4183416
1770257807367,375.82,102.57,164413440,80265216,46218632,44.08,4124668
1770257807467,376.01,102.65,164413440,80265216,46220720,44.08,4124668
1770257807569,376.29,102.72,164413440,80265216,46222784,44.08,4124668
1770257807671,379.80,104.32,164413440,80265216,46500440,44.35,4134196
1770257807773,379.94,104.40,164413440,80265216,46502528,44.35,4134196
1770257807873,381.78,105.32,164429824,80265216,46779904,44.61,4135532
1770257807975,381.86,105.37,164429824,80265216,46781992,44.61,4135532
