timestamp,message
1770252978897,"fetching_query_registered"
1770252981640,"First data received at wall-clock time: 1770252981640"
1770253156010,"RStream result generated: -22.98428651851852 (count: 270) at timestamp: 1770253156010"
1770253156010,"Processing valid result: -22.98428651851852 with count: 270"
1770253156010,"Generated aggregation event for result: -22.98428651851852"
1770253156011,"RStream result generated: -22.98428651851852 (count: 270) at timestamp: 1770253156011"
1770253156011,"Filtered out result due to timing: -22.98428651851852"
1770253156012,"RStream result generated: -22.98428651851852 (count: 135) at timestamp: 1770253156012"
1770253156012,"Filtered out result due to timing: -22.98428651851852"
1770253156012,"RStream result generated: -22.98428651851852 (count: 135) at timestamp: 1770253156012"
1770253156012,"Filtered out result due to timing: -22.98428651851852"
1770253156013,"Successfully published result: -22.98428651851852, publish latency: 1ms"
1770253161890,"RStream result generated: -23 (count: 48) at timestamp: 1770253161890"
1770253161890,"Filtered out result due to timing: -23"
1770253161891,"RStream result generated: -23.04329224489796 (count: 49) at timestamp: 1770253161891"
1770253161891,"Filtered out result due to timing: -23.04329224489796"
1770254228279,"Process terminated, cleaning up..."
