timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770252979000,232.35,77.63,114114560,66535424,40580800,38.70,3092718
1770252979101,232.50,77.67,114114560,66535424,40585400,38.71,3092774
1770252979203,232.75,77.74,114114560,66535424,40587888,38.71,3092774
1770252979306,233.14,77.85,114114560,66535424,40590632,38.71,3092774
1770252979406,233.47,77.94,114130944,66535424,40592936,38.71,3092774
1770252979508,233.72,78.00,114130944,66535424,40595240,38.71,3092774
1770252979610,234.35,78.12,114163712,66535424,40597544,38.72,3092774
1770252979712,234.74,78.19,114163712,66535424,40600040,38.72,3092774
1770252979814,235.13,78.25,114163712,66535424,40602344,38.72,3092774
1770252979915,235.71,78.33,114163712,66535424,40604680,38.72,3092774
1770252980017,236.12,78.42,114180096,66535424,40607104,38.73,3092774
1770252980119,236.44,78.50,114180096,66535424,40609232,38.73,3092774
1770252980220,237.06,78.60,114196480,66535424,40611544,38.73,3092774
1770252980323,237.39,78.67,114196480,66535424,40613592,38.73,3092774
1770252980424,237.74,78.73,114196480,66535424,40615640,38.73,3092774
1770252980526,238.10,78.83,114196480,66535424,40617688,38.74,3092774
1770252980628,238.52,78.91,114196480,66535424,40619768,38.74,3092774
1770252980730,238.79,78.98,114196480,66535424,40621816,38.74,3092774
1770252980833,239.10,79.10,114196480,66535424,40623864,38.74,3092774
1770252980935,239.43,79.17,114196480,66535424,40625912,38.74,3092774
1770252981037,239.79,79.27,114196480,66535424,40627960,38.75,3092774
1770252981139,240.12,79.34,114196480,66535424,40630008,38.75,3092774
1770252981241,240.44,79.41,114196480,66535424,40632056,38.75,3092774
1770252981342,240.78,79.52,114196480,66535424,40634104,38.75,3092774
1770252981444,241.10,79.59,114196480,66535424,40636152,38.75,3092774
1770252981544,241.33,79.66,114196480,66535424,40638200,38.76,3092774
1770252981644,245.39,80.25,114475008,66535424,40959880,39.06,3093446
1770252981746,246.50,80.56,114573312,66797568,41358384,39.44,3102305
1770252981848,246.66,80.60,114573312,66797568,41360456,39.44,3102305
1770252981949,253.77,82.28,114786304,66797568,41772880,39.84,3111835
1770252982049,254.09,82.35,114786304,66797568,41774952,39.84,3111835
1770252982149,260.56,84.07,114884608,66797568,42084928,40.14,3121365
1770252982251,260.75,84.14,114884608,66797568,42087000,40.14,3121365
1770252982353,261.06,84.21,114884608,66797568,42089048,40.14,3121365
1770252982454,266.89,85.74,114933760,67059712,42608488,40.63,3130895
1770252982556,267.45,85.84,114950144,67059712,42610560,40.64,3130895
1770252982657,272.86,87.34,115015680,67059712,42912680,40.92,3140425
1770252982759,273.03,87.39,115015680,67059712,42914800,40.93,3140425
1770252982861,273.25,87.48,115015680,67059712,42916864,40.93,3140425
1770252982963,276.41,88.83,115081216,67059712,43223672,41.22,3149955
1770252983066,276.54,88.88,115081216,67059712,43225760,41.22,3149955
1770252983167,280.92,90.41,115097600,67059712,43684896,41.66,3159485
1770252983269,281.15,90.49,115097600,67059712,43686984,41.66,3159485
1770252983372,281.44,90.56,115097600,67059712,43689048,41.67,3159485
1770252983473,286.14,92.03,115130368,67059712,43990560,41.95,3169015
1770252983575,286.41,92.10,115130368,67059712,43992648,41.95,3169015
1770252983677,291.26,93.62,115146752,67059712,44294160,42.24,3178545
1770252983779,291.55,93.70,115146752,67059712,44296248,42.24,3178545
1770252983881,291.87,93.80,115146752,67059712,44298312,42.25,3178545
1770252983983,296.54,95.31,115179520,67059712,44600320,42.53,3188075
1770252984086,296.83,95.39,115179520,67059712,44602408,42.54,3188075
1770252984188,301.90,97.12,115195904,67059712,44914504,42.83,3197607
1770252984289,302.19,97.21,115195904,67059712,44916592,42.84,3197607
1770252984391,302.48,97.29,115195904,67059712,44918656,42.84,3197607
1770252984493,307.07,98.77,115212288,67059712,45220496,43.13,3207139
1770252984595,307.26,98.86,115212288,67059712,45222584,43.13,3207139
1770252984697,307.46,98.95,115212288,67059712,45224648,43.13,3207139
1770252984799,313.59,100.94,115277824,67059712,45526920,43.42,3216671
1770252984901,313.76,101.00,115277824,67059712,45529008,43.42,3216671
1770252985003,315.28,101.90,115277824,67059712,45830752,43.71,3226203
1770252985105,315.43,101.94,115277824,67059712,45832896,43.71,3226203
1770252985207,325.02,105.79,121176064,73351168,41492280,39.57,3235735
1770252985310,325.19,105.84,121176064,73351168,41494368,39.57,3235735
1770252985414,327.38,106.64,121176064,73351168,41646632,39.72,3101621
