timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770250046793,236.84,55.91,114409472,67321856,41405968,39.49,3102249
1770250046895,237.01,55.96,114409472,67321856,41410152,39.49,3102305
1770250046997,237.37,56.11,114409472,67321856,41412512,39.49,3102305
1770250047099,244.63,58.31,114622464,67321856,41720880,39.79,3103643
1770250047201,245.11,58.47,114622464,67321856,41723616,39.79,3103643
1770250047303,251.28,60.40,114720768,67321856,42033936,40.09,3113173
1770250047405,251.57,60.55,114720768,67321856,42036264,40.09,3113173
1770250047507,251.80,60.63,114720768,67321856,42038584,40.09,3113173
1770250047609,255.05,62.02,114769920,67321856,42342816,40.38,3122703
1770250047711,255.51,62.16,114786304,67321856,42345176,40.38,3122703
1770250047813,261.80,64.16,114900992,67584000,42860584,40.88,3132233
1770250047914,262.11,64.30,114900992,67584000,42862736,40.88,3132233
1770250048014,262.69,64.44,114917376,67584000,42864920,40.88,3132233
1770250048114,267.76,66.19,114950144,67584000,43171872,41.17,3141765
1770250048217,268.12,66.33,114950144,67584000,43173944,41.17,3141765
1770250048318,274.60,68.16,114999296,67584000,43475872,41.46,3151297
1770250048418,274.96,68.29,114999296,67584000,43477944,41.46,3151297
1770250048520,275.33,68.40,114999296,67584000,43479992,41.47,3151297
1770250048622,279.34,70.15,115015680,67584000,43781656,41.75,3160829
1770250048724,279.66,70.29,115015680,67584000,43783728,41.76,3160829
1770250048824,284.24,72.55,115048448,67584000,44085248,42.04,3170361
1770250048927,284.63,72.70,115048448,67584000,44087320,42.04,3170361
1770250049028,285.01,72.88,115048448,67584000,44089368,42.05,3170361
1770250049130,289.27,74.85,115081216,67584000,44391488,42.34,3179893
1770250049232,289.65,75.02,115081216,67584000,44393560,42.34,3179893
1770250049334,292.37,76.75,115081216,67584000,44705712,42.63,3189425
1770250049436,292.66,76.86,115081216,67584000,44707784,42.64,3189425
1770250049538,292.94,77.03,115081216,67584000,44709832,42.64,3189425
1770250049639,294.11,77.74,115130368,67584000,45011784,42.93,3198957
1770250049741,296.20,78.76,115163136,67584000,45314152,43.21,3208487
1770250049843,298.60,80.16,115163136,67584000,45616016,43.50,3218019
1770250049945,303.57,82.41,115163136,67584000,45917880,43.79,3227549
1770250050047,303.95,82.60,115163136,67584000,45919952,43.79,3227549
1770250050149,315.51,86.81,115195904,67584000,46612968,44.45,3246611
1770250050251,327.43,91.35,121192448,73875456,41602536,39.68,3246611
1770250050351,332.03,93.40,121225216,73875456,41904424,39.96,3110481
1770250050453,336.45,95.78,121241600,73875456,42206160,40.25,3120011
1770250050553,336.73,95.92,121241600,73875456,42208280,40.25,3120011
1770250050653,347.11,99.85,121274368,73875456,42810152,40.83,3139073
1770250050754,347.30,99.93,121274368,73875456,42812240,40.83,3139073
1770250050856,350.39,101.40,121307136,73875456,43134680,41.14,3148605
1770250050958,355.19,103.26,121307136,73875456,43435656,41.42,3158135
1770250051064,358.87,104.51,121323520,73875456,43588024,41.57,3166999
1770250051167,367.04,107.54,121356288,73875456,44036464,42.00,3177197
1770250051269,367.29,107.64,121356288,73875456,44038552,42.00,3177197
1770250051371,370.98,109.79,121356288,73875456,44339640,42.29,3186729
1770250051473,381.13,112.19,121552896,73875456,44640672,42.57,3196259
1770250051574,385.59,114.19,121552896,73875456,44941456,42.86,3205791
1770250051675,391.15,116.28,121569280,73875456,45240328,43.14,3215321
1770250051776,391.36,116.37,121569280,73875456,45242384,43.15,3215321
1770250051878,395.15,118.51,121602048,73875456,45541368,43.43,3224853
1770250051980,401.59,120.89,121618432,73875456,45839208,43.72,3234383
1770250052082,408.71,122.97,121618432,73875456,46128656,43.99,3243915
1770250052184,413.22,125.63,121618432,73875456,46406360,44.26,3253447
1770250052284,413.44,125.75,121618432,73875456,46408368,44.26,3253447
1770250052386,416.74,127.71,121618432,73875456,46687616,44.52,3262979
1770250052488,420.58,130.18,121618432,73875456,46965296,44.79,3272511
1770250052590,423.20,131.23,121634816,73875456,47244744,45.06,3282043
1770250052692,433.30,133.12,121634816,73875456,47524256,45.32,3291575
1770250052794,433.49,133.22,121634816,73875456,47526264,45.32,3291575
1770250052897,464.77,136.14,123961344,74137600,48023896,45.80,3301107
1770250052999,470.85,137.63,123994112,74137600,48452280,46.21,3310639
1770250053101,482.97,139.82,123994112,74137600,48731800,46.47,3320171
1770250053202,488.16,142.59,123994112,74137600,49008512,46.74,3329703
1770250053304,488.42,142.67,123994112,74137600,49010520,46.74,3329703
1770250053407,518.36,144.98,124059648,74137600,49292184,47.01,3339235
1770250053510,522.48,147.09,124059648,74137600,49610584,47.31,3348767
1770250053611,525.50,149.14,124059648,74137600,49887296,47.58,3358299
1770250053712,534.74,151.65,124092416,74137600,50164392,47.84,3367831
1770250053814,534.90,151.74,124092416,74137600,50166400,47.84,3367831
1770250053915,542.42,154.92,124108800,74137600,50572344,48.23,3386227
1770250054016,544.02,155.93,124108800,74137600,50707896,48.36,3386895
1770250054118,547.52,157.92,124108800,74137600,50978832,48.62,3396427
1770250054221,554.67,159.89,124190720,74137600,51249264,48.88,3405959
1770250054323,554.87,159.98,124190720,74137600,51251272,48.88,3405959
1770250054424,566.54,163.50,124223488,74137600,51654248,49.26,3424355
1770250054525,575.43,164.59,124239872,74137600,51787872,49.39,3425023
1770250054627,578.48,166.68,124239872,74137600,52053720,49.64,3434555
1770250054729,583.06,169.06,124272640,74137600,52318016,49.89,3444087
1770250054830,650.10,177.44,91684864,40419328,35511136,33.87,3098702
1770250054930,655.11,179.97,91684864,40419328,35984864,34.32,3117098
1770250055032,658.96,181.04,91684864,40419328,36127112,34.45,3117766
1770250055134,662.80,182.75,91684864,40419328,36408544,34.72,3127298
1770250055235,670.72,184.92,92225536,43565056,35837328,34.18,3109574
1770250055337,670.94,185.01,92225536,43565056,35839328,34.18,3109574
1770250055437,720.78,188.92,92782592,43565056,36264872,34.58,3127970
1770250055539,747.41,195.36,90734592,39370752,35606536,33.96,3108234
1770250055641,754.13,197.28,90734592,39370752,35890080,34.23,3117766
1770250055743,757.59,199.23,90734592,39370752,36167768,34.49,3127298
1770250055843,757.83,199.34,90734592,39370752,36169768,34.49,3127298
1770250055945,765.46,202.15,91029504,40419328,35729256,34.07,3145694
1770250056047,767.16,203.34,91160576,40419328,35865936,34.20,3118438
1770250056149,776.88,205.51,91422720,40419328,36158584,34.48,3127970
1770250056251,780.48,208.02,91668480,40419328,36431688,34.74,3137502
1770250056353,780.72,208.13,91668480,40419328,36433688,34.75,3137502
1770250056454,788.73,211.02,91766784,40419328,36061160,34.39,3127302
1770250056557,796.17,211.99,91766784,40419328,36207016,34.53,3127970
1770250056660,803.24,214.00,91766784,40419328,36482104,34.79,3137502
1770250056763,811.65,216.13,91783168,40419328,35960840,34.29,3147034
1770250056865,811.92,216.27,91783168,40419328,35962840,34.30,3147034
1770250056967,819.87,220.20,91783168,40419328,36506440,34.82,3136830
1770250057069,820.00,220.27,91783168,40419328,36508440,34.82,3136830
1770250057171,823.15,222.24,91783168,40419328,36781096,35.08,3146362
1770250057273,826.14,223.63,91783168,40419328,36273624,34.59,3126630
1770250057376,829.70,225.01,91783168,40419328,36413048,34.73,3135494
1770250057479,846.39,228.28,91783168,40419328,36849456,35.14,3145694
1770250057581,846.60,228.37,91783168,40419328,36851432,35.14,3145694
1770250057683,852.13,230.28,91914240,42516480,36350592,34.67,3118438
1770250057786,856.06,232.40,91914240,42516480,36618864,34.92,3127970
1770250057887,859.12,234.27,91914240,42516480,36891648,35.18,3137502
1770250057989,863.07,236.29,91996160,42516480,37162424,35.44,3147034
1770250058089,863.26,236.36,91996160,42516480,37164400,35.44,3147034
1770250058191,866.51,238.37,92258304,42516480,37435384,35.70,3156566
1770250058293,870.24,240.84,92536832,42516480,37707600,35.96,3166098
1770250058394,877.35,243.11,92782592,42516480,36460480,34.77,3175630
1770250058496,882.70,245.33,92782592,42516480,36731144,35.03,3126630
1770250058597,882.91,245.43,92782592,42516480,36733120,35.03,3126630
1770250058699,886.41,247.37,92782592,42516480,37002912,35.29,3136162
1770250058801,890.01,249.36,92848128,42516480,37273472,35.55,3145694
1770250058902,894.27,251.45,93192192,42778624,37841488,36.09,3155226
1770250059004,897.82,253.58,93454336,42778624,38109344,36.34,3164758
1770250059105,898.06,253.69,93454336,42778624,38111344,36.35,3164758
1770250059207,911.73,255.92,93749248,42778624,38532760,36.75,3174290
1770250059307,918.70,258.13,93880320,42778624,37260296,35.53,3183822
1770250059409,922.12,260.26,93896704,42778624,37522024,35.78,3127298
1770250059511,926.02,262.36,93896704,42778624,37783776,36.03,3136830
1770250059613,926.24,262.47,93896704,42778624,37785752,36.04,3136830
1770250059715,929.53,264.18,93896704,42778624,38047448,36.28,3146362
1770250059818,932.75,266.24,93896704,42778624,38307632,36.53,3155894
1770250059921,935.75,268.25,93896704,42778624,38569440,36.78,3165426
1770250060022,941.52,270.41,93978624,43040768,37370336,35.64,3174958
1770250060124,941.76,270.52,93978624,43040768,37372336,35.64,3174958
1770250060225,944.90,272.50,93995008,43040768,37634080,35.89,3126630
1770250060328,960.53,274.42,94011392,43040768,37896072,36.14,3136162
1770250060427,963.88,276.42,94027776,43040768,38148968,36.38,3145694
1770250060529,967.28,278.37,94027776,43040768,38400424,36.62,3155226
1770250060629,967.58,278.51,94027776,43040768,38402400,36.62,3155226
1770250060730,972.41,280.54,94027776,43040768,38655448,36.86,3164758
1770250060832,974.14,281.24,94027776,43040768,38907032,37.10,3174290
1770250060934,979.74,283.33,94257152,43302912,37622248,35.88,3183822
1770250061036,1011.36,285.81,94322688,43302912,37874312,36.12,3127298
1770250061138,1011.49,285.86,94322688,43302912,37876288,36.12,3127298
1770250061239,1038.10,288.87,94388224,43302912,38254544,36.48,3145694
1770250061340,1039.14,289.66,94388224,43302912,38380984,36.60,3146362
1770250061441,1048.47,291.84,94388224,43302912,38634848,36.85,3155894
1770250061543,1050.16,292.95,94388224,43302912,38884344,37.08,3165426
1770250061645,1050.31,293.02,94388224,43302912,38886320,37.08,3165426
1770250061745,1054.92,296.19,94388224,43302912,39261264,37.44,3183822
1770250061847,1057.70,297.12,94666752,43302912,37850384,36.10,3184490
1770250061949,1063.37,299.24,94683136,43302912,38102344,36.34,3127298
1770250062050,1066.21,301.41,94683136,43302912,38351808,36.58,3136830
1770250062151,1066.41,301.51,94683136,43302912,38353784,36.58,3136830
1770250062252,1073.36,304.64,94683136,43302912,38728760,36.93,3155226
1770250062354,1074.45,305.51,94683136,43302912,38854344,37.05,3155894
1770250062455,1082.16,307.65,94683136,43302912,39106048,37.29,3165426
1770250062557,1085.06,309.63,94683136,43302912,39355184,37.53,3174958
1770250062658,1085.34,309.77,94683136,43302912,39357160,37.53,3174958
1770250062758,1094.77,314.34,95223808,48283648,38406344,36.63,3127298
1770250062860,1094.96,314.41,95223808,48283648,38408320,36.63,3127298
1770250062962,1098.34,316.55,95223808,48283648,38659024,36.87,3136830
1770250063064,1101.62,318.54,95223808,48283648,38908560,37.11,3146362
1770250063166,1101.93,318.69,95223808,48283648,38910560,37.11,3146362
1770250063267,1109.47,322.50,95240192,48283648,39408440,37.58,3165426
1770250063369,1109.69,322.58,95240192,48283648,39410416,37.58,3165426
1770250063470,1112.44,324.86,95240192,48283648,39661080,37.82,3174958
1770250063572,1115.24,326.68,95354880,48283648,39910280,38.06,3184490
1770250063674,1115.53,326.80,95354880,48283648,39912256,38.06,3184490
1770250063776,1122.19,330.65,95846400,48283648,40410248,38.54,3203554
1770250063877,1122.44,330.75,95846400,48283648,40412248,38.54,3203554
1770250063979,1127.39,332.87,96124928,48283648,40663624,38.78,3213086
1770250064082,1130.74,334.95,96354304,48283648,40912848,39.02,3222618
1770250064184,1131.04,335.09,96354304,48283648,40914848,39.02,3222618
1770250064286,1138.20,339.36,96862208,48283648,41412680,39.49,3241682
1770250064388,1138.45,339.48,96862208,48283648,41414680,39.50,3241682
1770250064490,1144.10,341.64,97320960,48283648,38609864,36.82,3251214
1770250064593,1147.05,343.55,97320960,48283648,38858936,37.06,3126630
1770250064694,1147.35,343.72,97320960,48283648,38860912,37.06,3126630
1770250064795,1153.54,347.86,97337344,48283648,39358784,37.54,3145694
1770250064897,1153.81,347.96,97337344,48283648,39360760,37.54,3145694
1770250064997,1157.65,349.93,97337344,48283648,39611928,37.78,3155226
1770250065099,1162.60,352.11,97337344,48283648,39860944,38.01,3164758
1770250065202,1162.89,352.25,97337344,48283648,39862920,38.02,3164758
1770250065304,1183.07,356.31,97632256,48283648,40362208,38.49,3183822
1770250065405,1183.24,356.38,97648640,48283648,40364184,38.49,3183822
1770250065506,1190.32,358.69,97894400,48283648,40615120,38.73,3193354
1770250065606,1193.02,360.83,98140160,48283648,40861928,38.97,3202886
1770250065711,1194.84,362.17,98254848,48283648,41051776,39.15,3211750
1770250065814,1200.58,364.96,98598912,48283648,41421080,39.50,3221950
1770250065915,1200.81,365.05,98598912,48283648,41423080,39.50,3221950
1770250066017,1205.36,367.23,98844672,48283648,41671768,39.74,3231482
