timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770256158950,225.70,70.99,113950720,66273280,40589304,38.71,3092718
1770256159053,225.87,71.04,113950720,66273280,40593904,38.71,3092774
1770256159153,226.24,71.16,113950720,66273280,40596392,38.72,3092774
1770256159254,226.72,71.27,113950720,66273280,40598728,38.72,3092774
1770256159356,227.47,71.39,113950720,66273280,40601440,38.72,3092774
1770256159457,227.76,71.52,113967104,66273280,40603744,38.72,3092774
1770256159560,228.16,71.61,113999872,66273280,40606048,38.72,3092774
1770256159661,228.59,71.75,113999872,66273280,40608544,38.73,3092774
1770256159764,229.06,71.89,113999872,66273280,40610848,38.73,3092774
1770256159866,229.81,72.00,113999872,66273280,40613184,38.73,3092774
1770256159967,230.24,72.18,114016256,66273280,40615584,38.73,3092774
1770256160069,230.48,72.30,114016256,66273280,40617712,38.74,3092774
1770256160169,231.19,72.45,114032640,66273280,40619896,38.74,3092774
1770256160272,231.48,72.58,114032640,66273280,40622072,38.74,3092774
1770256160373,231.75,72.70,114032640,66273280,40624128,38.74,3092774
1770256160475,232.06,72.85,114032640,66273280,40626176,38.74,3092774
1770256160576,232.50,72.93,114032640,66273280,40628256,38.75,3092774
1770256160677,232.87,73.05,114032640,66273280,40630304,38.75,3092774
1770256160780,233.25,73.21,114032640,66273280,40632352,38.75,3092774
1770256160879,233.55,73.36,114032640,66273280,40634400,38.75,3092774
1770256160982,233.86,73.49,114032640,66273280,40636448,38.75,3092774
1770256161083,234.23,73.63,114032640,66273280,40638496,38.76,3092774
1770256161186,234.56,73.78,114032640,66273280,40640544,38.76,3092774
1770256161287,234.84,73.92,114032640,66273280,40642592,38.76,3092774
1770256161389,235.13,74.06,114032640,66273280,40644640,38.76,3092774
1770256161491,235.43,74.21,114032640,66273280,40646688,38.76,3092774
1770256161593,235.63,74.27,114032640,66273280,40648736,38.77,3092774
1770256161695,241.01,75.07,114409472,66535424,41381264,39.46,3102305
1770256161797,241.17,75.11,114409472,66535424,41383336,39.47,3102305
1770256161899,247.00,76.82,114638848,66535424,41691664,39.76,3111835
1770256162000,247.21,76.95,114638848,66535424,41693736,39.76,3111835
1770256162102,247.45,77.07,114638848,66535424,41695784,39.76,3111835
1770256162204,253.15,78.72,114737152,66797568,42264304,40.31,3121365
1770256162305,253.46,78.82,114737152,66797568,42266376,40.31,3121365
1770256162407,260.51,80.73,114802688,67059712,42785944,40.80,3130895
1770256162510,260.89,80.83,114802688,67059712,42788016,40.81,3130895
1770256162610,261.17,80.95,114802688,67059712,42790032,40.81,3130895
1770256162710,266.68,82.53,114900992,67059712,43092400,41.10,3140425
1770256162813,266.97,82.64,114900992,67059712,43094488,41.10,3140425
1770256162913,272.23,84.39,114966528,67059712,43401312,41.39,3149955
1770256163015,272.50,84.52,114966528,67059712,43403400,41.39,3149955
1770256163118,272.80,84.67,114966528,67059712,43405464,41.39,3149955
1770256163221,277.36,86.28,114999296,67059712,43707304,41.68,3159485
1770256163322,277.69,86.42,114999296,67059712,43709392,41.68,3159485
1770256163423,282.43,88.12,115015680,67059712,44010912,41.97,3169015
1770256163525,282.64,88.25,115015680,67059712,44013000,41.97,3169015
1770256163627,282.84,88.36,115015680,67059712,44015064,41.98,3169015
1770256163729,287.04,90.08,115032064,67059712,44316696,42.26,3178545
1770256163830,287.30,90.19,115032064,67059712,44318784,42.27,3178545
1770256163933,291.49,91.85,115081216,67059712,44620864,42.55,3188075
1770256164035,291.68,91.97,115081216,67059712,44622952,42.56,3188075
1770256164138,291.96,92.14,115081216,67059712,44625016,42.56,3188075
1770256164240,295.55,93.87,115081216,67059712,44937168,42.86,3197607
1770256164340,295.76,93.93,115081216,67059712,44939256,42.86,3197607
1770256164442,299.36,95.47,115097600,67059712,45241152,43.15,3207139
1770256164543,299.52,95.56,115097600,67059712,45243240,43.15,3207139
1770256164645,299.71,95.67,115097600,67059712,45245304,43.15,3207139
1770256164747,305.27,97.23,115146752,67059712,45547680,43.44,3216671
1770256164849,305.46,97.30,115146752,67059712,45549768,43.44,3216671
1770256164951,308.80,98.81,115163136,67059712,45851872,43.73,3226203
1770256165053,309.04,98.93,115163136,67059712,45853960,43.73,3226203
1770256165155,311.74,100.02,115163136,67059712,46006384,43.88,3226875
1770256165257,322.92,102.93,121274368,73351168,41504120,39.58,3235735
1770256165360,323.14,103.03,121274368,73351168,41506208,39.58,3235735
1770256165461,325.76,104.51,121274368,73351168,41808000,39.87,3110481
1770256165563,325.88,104.56,121274368,73351168,41810088,39.87,3110481
1770256165664,328.90,105.99,121274368,73351168,42112032,40.16,3120013
1770256165765,329.05,106.03,121274368,73351168,42114120,40.16,3120013
1770256165867,329.23,106.14,121274368,73351168,42116184,40.17,3120013
1770256165970,332.31,107.59,121290752,73351168,42418064,40.45,3129545
1770256166071,332.53,107.68,121290752,73351168,42420152,40.46,3129545
1770256166173,335.91,109.20,121290752,73351168,42721960,40.74,3139077
1770256166273,336.06,109.26,121290752,73351168,42724048,40.74,3139077
1770256166374,336.31,109.34,121290752,73351168,42726112,40.75,3139077
1770256166477,341.36,110.89,121323520,73351168,43028048,41.03,3148609
1770256166579,341.69,111.02,121323520,73351168,43030136,41.04,3148609
1770256166679,349.01,112.88,121389056,73351168,43332232,41.32,3158141
1770256166780,349.22,112.95,121389056,73351168,43334320,41.33,3158141
1770256166882,349.54,113.10,121389056,73351168,43336384,41.33,3158141
1770256166982,394.18,115.72,121667584,73351168,43666192,41.64,3167673
1770256167084,420.23,122.58,88408064,39632896,35284488,33.65,3098702
1770256167186,426.86,124.32,88408064,39632896,35643704,33.99,3108234
1770256167288,427.06,124.39,88408064,39632896,35645784,33.99,3108234
1770256167391,427.39,124.52,88408064,39632896,35647840,34.00,3108234
1770256167491,435.42,126.27,88440832,39632896,36008960,34.34,3117766
1770256167590,437.86,126.59,88440832,39632896,36006112,34.34,3117766
1770256167692,499.79,133.15,87719936,39370752,35631528,33.98,3108234
1770256167794,500.00,133.23,87719936,39370752,35633608,33.98,3108234
1770256167893,500.33,133.37,87719936,39370752,35635664,33.98,3108234
