timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770246887751,229.74,54.92,114098176,67059712,40475064,38.60,3092718
1770246887853,229.91,54.97,114114560,67059712,40479664,38.60,3092774
1770246887955,230.25,55.04,114114560,67059712,40482152,38.61,3092774
1770246888058,230.84,55.16,114130944,67059712,40517664,38.64,3092774
1770246888160,231.18,55.24,114147328,67059712,40519968,38.64,3092774
1770246888261,231.49,55.30,114147328,67059712,40522272,38.65,3092774
1770246888362,231.96,55.38,114163712,67059712,40524576,38.65,3092774
1770246888465,232.15,55.43,114163712,67059712,40527072,38.65,3092774
1770246888567,232.33,55.49,114163712,67059712,40529376,38.65,3092774
1770246888668,232.75,55.54,114163712,67059712,40531712,38.65,3092774
1770246888771,233.15,55.63,114180096,67059712,40534112,38.66,3092774
1770246888872,233.46,55.71,114180096,67059712,40536240,38.66,3092774
1770246888974,233.99,55.81,114196480,67059712,40538552,38.66,3092774
1770246889075,234.27,55.88,114196480,67059712,40540600,38.66,3092774
1770246889176,234.56,55.94,114196480,67059712,40542648,38.66,3092774
1770246889277,234.81,56.00,114196480,67059712,40544696,38.67,3092774
1770246889379,235.24,56.06,114196480,67059712,40546776,38.67,3092774
1770246889479,235.53,56.12,114196480,67059712,40548824,38.67,3092774
1770246889581,235.73,56.17,114196480,67059712,40550872,38.67,3092774
1770246889682,240.88,57.21,114540544,67321856,41483280,39.56,3102305
1770246889784,240.94,57.26,114540544,67321856,41485352,39.56,3102305
1770246889884,241.06,57.29,114540544,67321856,41487400,39.57,3102305
1770246889986,248.26,59.27,114769920,67321856,41795760,39.86,3111835
1770246890088,248.54,59.34,114769920,67321856,41797832,39.86,3111835
1770246890190,254.78,60.99,114868224,67321856,42107880,40.16,3121365
1770246890292,255.01,61.06,114868224,67321856,42109952,40.16,3121365
1770246890395,255.30,61.13,114868224,67321856,42112000,40.16,3121365
1770246890496,260.98,63.03,114933760,67584000,42628424,40.65,3130895
1770246890597,261.11,63.06,114933760,67584000,42630496,40.66,3130895
1770246890699,264.26,64.47,115064832,67584000,43235760,41.23,3149955
1770246890800,264.35,64.51,115064832,67584000,43237832,41.23,3149955
1770246890902,269.17,66.29,115097600,67584000,43538032,41.52,3159485
1770246891002,273.87,68.10,115130368,67584000,43839592,41.81,3169015
1770246891104,274.18,68.18,115130368,67584000,43841664,41.81,3169015
1770246891206,283.46,71.37,115179520,67584000,44441544,42.38,3188075
1770246891308,283.87,71.43,115179520,67584000,44443616,42.38,3188075
1770246891409,287.72,72.99,115179520,67584000,44754392,42.68,3197605
1770246891511,289.43,73.92,115212288,67584000,45056264,42.97,3207135
1770246891613,289.56,73.96,115212288,67584000,45058352,42.97,3207135
1770246891714,300.24,77.58,115261440,67584000,45658680,43.54,3226195
1770246891817,300.43,77.64,115261440,67584000,45660768,43.55,3226195
1770246891918,305.49,79.50,115277824,67584000,45960936,43.83,3235725
1770246892020,318.08,85.21,121241600,73351168,41491472,39.57,3245255
1770246892121,320.45,86.37,121257984,73351168,41642432,39.71,3101620
1770246892223,327.28,88.89,121274368,73351168,42093376,40.14,3120011
1770246892325,327.53,88.96,121274368,73351168,42095464,40.15,3120011
1770246892427,333.52,90.85,121323520,73351168,42395744,40.43,3129541
1770246892529,337.68,92.41,121323520,73351168,42697512,40.72,3139073
1770246892629,342.88,93.48,121405440,73351168,42848808,40.86,3139744
1770246892731,349.88,96.27,121438208,73351168,43320544,41.31,3158135
1770246892831,350.11,96.33,121438208,73351168,43322632,41.32,3158135
1770246892931,356.29,98.20,121438208,73351168,43623592,41.60,3167665
1770246893033,363.24,100.22,121487360,73351168,43924760,41.89,3177197
1770246893135,365.56,101.25,121487360,73351168,44075400,42.03,3177869
1770246893237,369.74,103.22,121503744,73351168,44376208,42.32,3187401
1770246893339,372.20,104.26,121503744,73351168,44527328,42.46,3196261
1770246893441,372.33,104.33,121503744,73351168,44529416,42.47,3196261
1770246893543,382.54,107.13,121733120,73351168,45133280,43.04,3215325
1770246893645,386.37,108.33,121733120,73351168,45284344,43.19,3215997
1770246893747,389.03,109.63,121749504,73351168,45736224,43.62,3234389
1770246893848,389.14,109.66,121749504,73351168,45738280,43.62,3234389
1770246893949,393.11,111.55,121749504,73351168,46210160,44.07,3244593
1770246894051,397.42,112.39,121749504,73351168,46356040,44.21,3253453
1770246894153,399.63,113.37,121749504,73351168,46495728,44.34,3254125
1770246894326,403.58,115.07,121749504,73351168,46774624,44.61,3263657
1770246894427,406.92,116.91,121749504,73351168,47190440,45.00,3282049
1770246894530,408.60,117.69,121749504,73351168,47331448,45.14,3282721
1770246894632,411.21,118.69,121749504,73351168,47471592,45.27,3291581
1770246894734,450.48,122.61,124321792,73613312,48235320,46.00,3301785
1770246894834,452.77,123.81,124321792,73613312,48375088,46.13,3310645
1770246894935,460.37,125.58,124321792,73613312,48653120,46.40,3320177
1770246895038,466.15,126.08,124338176,73613312,48794848,46.53,3320849
1770246895138,468.69,127.16,124338176,73613312,48934512,46.67,3329709
1770246895239,500.36,131.40,124420096,73613312,49385896,47.10,3339913
1770246895339,502.49,132.37,124420096,73613312,49524384,47.23,3348773
1770246895441,506.51,134.27,124420096,73613312,49840600,47.53,3358305
1770246895542,508.65,135.24,124420096,73613312,49980264,47.66,3358977
1770246895646,514.94,137.05,124420096,73613312,50254512,47.93,3368509
1770246895748,521.15,138.85,124469248,73613312,50529952,48.19,3378041
1770246895849,588.23,150.82,92323840,40681472,35701736,34.05,3107562
1770246895951,593.18,152.62,92340224,40681472,35984240,34.32,3117094
1770246896053,595.62,153.97,92340224,40681472,36126528,34.45,3117766
1770246896154,600.69,155.77,92340224,40681472,36413744,34.73,3127298
1770246896256,607.05,157.38,92930048,43827200,35829816,34.17,3117766
1770246896357,611.06,158.32,93044736,43827200,35973728,34.31,3126626
1770246896459,681.00,165.88,90914816,39108608,35822080,34.16,3108234
1770246896560,684.50,166.87,90931200,39108608,35962568,34.30,3108906
1770246896661,690.25,168.53,90931200,39108608,36238920,34.56,3118438
1770246896762,694.72,170.25,91209728,40157184,35621624,33.97,3127970
1770246896864,696.63,171.12,91340800,40157184,35759936,34.10,3117766
1770246896965,702.16,172.91,91602944,40157184,36035952,34.37,3127298
1770246897067,761.28,175.97,91013120,39370752,35494816,33.85,3098702
1770246897168,770.13,177.60,91062272,39370752,36036432,34.37,3108234
1770246897268,773.91,179.25,91062272,39370752,36310248,34.63,3117766
1770246897369,776.12,180.22,91062272,39370752,36447704,34.76,3126626
1770246897470,782.67,181.89,91357184,40419328,35831768,34.17,3117094
1770246897572,785.40,182.83,91504640,40419328,35969816,34.30,3117766
1770246897672,789.17,184.64,91766784,40419328,36242872,34.56,3127298
1770246897774,793.59,186.71,92028928,40419328,36515976,34.82,3136830
1770246897877,798.59,187.60,92127232,40419328,35881824,34.22,3145690
1770246897979,802.47,189.23,92127232,40419328,36151920,34.48,3118434
1770246898082,804.56,190.19,92127232,40419328,36289144,34.61,3119106
1770246898184,812.00,191.98,92160000,40419328,36558680,34.87,3128638
1770246898285,817.79,193.53,92160000,40419328,36040592,34.37,3138170
1770246898388,822.63,194.75,92160000,40419328,36175640,34.50,3117766
1770246898487,834.53,197.54,92176384,40419328,36589424,34.89,3127970
1770246898588,834.71,197.62,92176384,40419328,36591424,34.90,3127970
1770246898688,840.80,199.29,92176384,40419328,36857264,35.15,3137502
1770246898790,852.86,201.24,92176384,40419328,36357560,34.67,3117766
1770246898893,853.67,201.75,92192768,40419328,36491672,34.80,3126626
1770246898992,855.83,202.81,92192768,40419328,36890440,35.18,3136830
1770246899094,855.90,202.84,92192768,40419328,36892416,35.18,3136830
1770246899195,858.82,204.52,92323840,42516480,36408088,34.72,3109574
1770246899297,862.79,206.42,92323840,42516480,36674984,34.98,3119106
1770246899398,869.97,207.47,92323840,42516480,36809560,35.10,3127966
1770246899499,876.45,210.13,92438528,42516480,37208176,35.48,3138170
1770246899600,876.65,210.20,92438528,42516480,37210152,35.49,3138170
1770246899701,880.64,212.02,92700672,42516480,37475936,35.74,3147702
1770246899802,885.99,214.16,92962816,42516480,37742864,35.99,3157234
1770246899905,888.19,215.31,93093888,42516480,37876984,36.12,3166094
1770246900005,896.24,218.05,93339648,42516480,36633808,34.94,3109574
1770246900107,896.49,218.10,93339648,42516480,36635784,34.94,3109574
1770246900209,900.41,219.81,93339648,42516480,36901584,35.19,3119106
1770246900311,904.35,221.55,93356032,42516480,37168424,35.45,3128638
1770246900412,908.26,222.58,93437952,42516480,37302864,35.57,3137498
1770246900514,914.68,225.24,93814784,42516480,37701104,35.95,3147702
1770246900616,914.92,225.30,93814784,42516480,37703080,35.96,3147702
1770246900716,918.83,227.24,94076928,42516480,37968296,36.21,3157234
1770246900819,923.41,229.04,94371840,42516480,38234576,36.46,3166766
1770246900918,927.55,229.96,94420992,42516480,36838000,35.13,3117094
1770246901020,933.67,232.66,94437376,42516480,37235944,35.51,3127298
1770246901121,933.91,232.72,94437376,42516480,37237920,35.51,3127298
1770246901224,950.64,235.46,94437376,42516480,37799224,36.05,3145690
1770246901326,954.39,236.34,94437376,42516480,37931888,36.17,3146362
1770246901429,956.48,237.28,94437376,42516480,38059616,36.30,3155222
1770246901531,962.71,239.69,94437376,42516480,38441632,36.66,3165426
1770246901632,962.95,239.76,94437376,42516480,38443632,36.66,3165426
1770246901734,970.50,242.32,94437376,42516480,37280264,35.55,3117766
1770246901835,972.56,243.24,94437376,42516480,37412848,35.68,3118438
1770246901936,974.53,244.13,94437376,42516480,37540576,35.80,3127298
1770246902037,980.04,246.64,94437376,42516480,37924168,36.17,3137502
1770246902138,980.25,246.70,94437376,42516480,37926144,36.17,3137502
1770246902237,986.99,249.24,94437376,42516480,38306360,36.53,3155894
1770246902339,988.93,250.02,94437376,42516480,38436096,36.66,3156566
1770246902441,992.27,251.15,94666752,43302912,37280376,35.55,3165426
1770246902544,1003.63,253.68,94699520,43302912,37823080,36.07,3118438
1770246902645,1005.46,254.57,94699520,43302912,37949960,36.19,3127298
1770246902747,1011.10,256.52,94699520,43302912,38201888,36.43,3136830
1770246902849,1014.07,257.33,94699520,43302912,38330224,36.55,3137502
1770246902951,1014.79,257.82,94699520,43302912,38457080,36.68,3146362
1770246903053,1037.98,259.66,94928896,43302912,38833776,37.03,3156566
1770246903155,1046.32,260.71,94945280,43302912,38960632,37.16,3165426
1770246903256,1066.14,262.52,95010816,43302912,39212992,37.40,3174958
1770246903358,1069.70,263.46,95191040,43302912,37767912,36.02,3175630
1770246903459,1071.73,264.38,95191040,43302912,37894456,36.14,3117766
1770246903560,1076.85,266.73,95191040,43302912,38270256,36.50,3127970
