timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770208250471,281.69,80.96,155320320,71090176,46403328,44.25,4119229
1770208250572,281.81,81.11,155336704,71090176,46408136,44.26,4119285
1770208250673,281.92,81.20,155336704,71090176,46410464,44.26,4119285
1770208250774,282.63,81.49,155353088,71090176,46439744,44.29,4119285
1770208250875,282.76,81.56,155353088,71090176,46442048,44.29,4119285
1770208250977,283.10,81.65,155353088,71090176,46444688,44.29,4119285
1770208251077,283.69,81.78,155353088,71090176,46447456,44.30,4119285
1770208251179,284.10,81.92,155353088,71090176,46449760,44.30,4119285
1770208251280,284.59,82.09,155353088,71090176,46452064,44.30,4119285
1770208251381,285.52,82.32,155369472,71090176,46454464,44.30,4119285
1770208251481,286.03,82.51,155385856,71090176,46456864,44.30,4119285
1770208251582,286.43,82.67,155385856,71090176,46458992,44.31,4119285
1770208251684,286.84,82.83,155385856,71090176,46461040,44.31,4119285
1770208251784,287.29,83.01,155385856,71090176,46463088,44.31,4119285
1770208251886,287.67,83.18,155385856,71090176,46465136,44.31,4119285
1770208251985,287.95,83.31,155385856,71090176,46467184,44.31,4119285
1770208252086,288.10,83.36,155402240,71090176,46469264,44.32,4119285
1770208252187,292.38,84.40,155729920,71352320,47072576,44.89,4128811
1770208252288,292.50,84.45,155729920,71352320,47074648,44.89,4128811
1770208252390,298.66,86.54,155942912,71614464,47572088,45.37,4130145
1770208252490,298.85,86.63,155942912,71614464,47574160,45.37,4130145
1770208252591,301.75,87.72,155975680,71614464,47717232,45.51,4139006
1770208252692,304.31,88.87,156008448,71614464,47858816,45.64,4139671
1770208252793,304.76,89.22,156008448,71614464,47860888,45.64,4139671
1770208252893,309.92,91.12,156041216,71614464,48139208,45.91,4141005
1770208252995,310.29,91.28,156041216,71614464,48141280,45.91,4141005
1770208253094,313.97,92.44,156139520,71614464,48281952,46.05,4149866
1770208253195,316.31,93.26,156172288,71614464,48421488,46.18,4150531
1770208253296,316.57,93.39,156172288,71614464,48423560,46.18,4150531
1770208253396,321.29,95.28,156221440,71876608,48914880,46.65,4151865
1770208253496,326.03,95.85,156516352,71876608,49070200,46.80,4151865
1770208253596,328.77,97.01,156532736,71876608,49210616,46.93,4160726
1770208253697,330.39,97.83,156549120,71876608,49349704,47.06,4161391
1770208253799,331.11,98.02,156549120,71876608,49355640,47.07,4161391
1770208253900,335.72,100.21,156565504,71876608,49632960,47.33,4162725
1770208254001,336.07,100.31,156565504,71876608,49635032,47.34,4162725
1770208254102,338.02,101.37,156581888,71876608,49775512,47.47,4171586
1770208254204,339.31,102.09,156581888,71876608,49914752,47.60,4172251
1770208254305,339.62,102.23,156581888,71876608,49916840,47.60,4172251
1770208254406,342.04,103.51,156581888,71876608,50194224,47.87,4173585
1770208254507,342.12,103.55,156581888,71876608,50196312,47.87,4173585
1770208254608,342.82,104.05,156598272,71876608,50341968,48.01,4182447
1770208254708,343.36,104.34,156614656,71876608,50486528,48.15,4183113
1770208254810,343.52,104.40,156614656,71876608,50488616,48.15,4183113
1770208254911,358.72,110.69,164085760,79740928,45922936,43.80,4184449
1770208255011,359.06,110.87,164085760,79740928,45925024,43.80,4184449
1770208255114,364.37,112.94,164085760,79740928,46202704,44.06,4133429
1770208255215,364.58,113.03,164085760,79740928,46204792,44.06,4133429
1770208255315,364.91,113.19,164085760,79740928,46206856,44.07,4133429
1770208255416,368.87,115.32,164085760,79740928,46484336,44.33,4134765
1770208255517,369.18,115.46,164085760,79740928,46486424,44.33,4134765
1770208255618,372.67,117.34,164085760,79740928,46764160,44.60,4144293
1770208255720,372.87,117.42,164085760,79740928,46766248,44.60,4144293
1770208255821,373.18,117.53,164085760,79740928,46768312,44.60,4144293
1770208255921,377.05,119.24,164102144,79740928,47045696,44.87,4145629
1770208256023,377.34,119.39,164102144,79740928,47047784,44.87,4145629
1770208256123,383.70,121.73,164102144,79740928,47325720,45.13,4155157
1770208256224,383.87,121.82,164102144,79740928,47327864,45.14,4155157
1770208256325,384.06,121.99,164102144,79740928,47329928,45.14,4155157
1770208256427,387.73,123.86,164102144,79740928,47607368,45.40,4156493
1770208256527,388.00,123.97,164102144,79740928,47609456,45.40,4156493
1770208256628,391.59,126.01,164118528,79740928,47887208,45.67,4166021
1770208256730,391.85,126.10,164118528,79740928,47889296,45.67,4166021
1770208256830,392.15,126.22,164118528,79740928,47891360,45.67,4166021
1770208256931,399.05,128.39,164184064,79740928,48168944,45.94,4167357
1770208257032,399.35,128.54,164184064,79740928,48171032,45.94,4167357
1770208257134,403.30,130.65,164184064,79740928,48448672,46.20,4176885
1770208257235,403.54,130.74,164184064,79740928,48450760,46.21,4176885
1770208257335,403.88,130.90,164184064,79740928,48452824,46.21,4176885
