timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770210067460,304.49,94.02,154550272,70680576,47932192,45.71,4119532
1770210067561,304.60,94.08,154550272,70680576,47937000,45.72,4119588
1770210067661,304.70,94.12,154550272,70680576,47939328,45.72,4119588
1770210067763,305.43,94.25,154583040,70680576,47969032,45.75,4119588
1770210067863,305.76,94.31,154583040,70680576,47971672,45.75,4119588
1770210067964,305.97,94.36,154583040,70680576,47973976,45.75,4119588
1770210068065,306.60,94.50,154583040,70680576,47976744,45.75,4119588
1770210068165,307.04,94.66,154583040,70680576,47979048,45.76,4119588
1770210068266,307.54,94.81,154583040,70680576,47981352,45.76,4119588
1770210068367,308.54,94.99,154599424,70680576,47983752,45.76,4119588
1770210068468,308.92,95.14,154615808,70680576,47986152,45.76,4119588
1770210068569,309.22,95.27,154615808,70680576,47988280,45.77,4119588
1770210068671,309.48,95.38,154615808,70680576,47990328,45.77,4119588
1770210068772,309.64,95.43,154615808,70680576,47992376,45.77,4119588
1770210068872,309.80,95.50,154615808,70680576,47994424,45.77,4119588
1770210068973,309.89,95.55,154615808,70680576,47996472,45.77,4119588
1770210069075,314.71,96.58,154583040,70942720,48573840,46.32,4129114
1770210069176,314.90,96.64,154451968,70942720,48575912,46.33,4129114
1770210069277,321.88,99.08,152207360,71204864,49075616,46.80,4130448
1770210069378,322.24,99.24,152207360,71204864,49077688,46.80,4130448
1770210069479,325.28,100.43,152240128,71204864,49220760,46.94,4139309
1770210069580,327.84,101.44,152256512,71204864,49362968,47.08,4139974
1770210069680,328.21,101.58,152256512,71204864,49365040,47.08,4139974
1770210069782,334.12,103.80,152289280,71204864,49643336,47.34,4141308
1770210069884,334.48,103.97,152289280,71204864,49645408,47.35,4141308
1770210069985,338.02,105.43,152354816,71204864,49786136,47.48,4150169
1770210070085,341.27,106.55,152420352,71467008,49958448,47.64,4150834
1770210070187,341.65,106.72,152420352,71467008,49960520,47.65,4150834
1770210070288,347.70,108.93,152485888,71729152,50455280,48.12,4152168
1770210070389,353.30,109.55,152780800,71729152,50482312,48.14,4152168
1770210070492,358.89,111.89,152797184,71729152,50759696,48.41,4161694
1770210070593,359.10,111.96,152797184,71729152,50761768,48.41,4161694
1770210070694,359.47,112.12,152797184,71729152,50763816,48.41,4161694
1770210070795,376.22,116.71,154959872,73711616,46577272,44.42,4163028
1770210070896,376.57,116.86,154959872,73711616,46579344,44.42,4163028
1770210070996,380.79,119.01,154959872,73711616,46857000,44.69,4133528
1770210071097,381.03,119.10,154959872,73711616,46859040,44.69,4133528
1770210071198,381.38,119.23,154959872,73711616,46861136,44.69,4133528
1770210071298,386.19,121.80,154976256,73711616,47138384,44.95,4134862
1770210071398,386.52,121.95,154976256,73711616,47140472,44.96,4134862
1770210071498,390.97,123.97,154976256,73711616,47428440,45.23,4144390
1770210071599,391.11,124.05,154976256,73711616,47430528,45.23,4144390
1770210071700,391.39,124.18,154976256,73711616,47432592,45.24,4144390
1770210071801,395.58,126.36,154992640,73711616,47709984,45.50,4145726
1770210071902,395.87,126.48,154992640,73711616,47712072,45.50,4145726
1770210072002,400.96,128.59,154992640,73711616,47989784,45.77,4155254
1770210072102,401.20,128.69,154992640,73711616,47991872,45.77,4155254
1770210072203,401.50,128.84,154992640,73711616,47993936,45.77,4155254
1770210072304,405.29,130.49,155009024,73711616,48271328,46.04,4156590
1770210072404,405.61,130.65,155009024,73711616,48273416,46.04,4156590
1770210072506,408.01,132.00,155025408,73711616,48551056,46.30,4166118
