timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770210555606,283.65,78.37,155222016,70828032,46485216,44.33,4119532
1770210555707,283.76,78.41,155222016,70828032,46490024,44.34,4119588
1770210555808,284.29,78.48,155238400,70828032,46519688,44.36,4119588
1770210555909,284.50,78.53,155254784,70828032,46522056,44.37,4119588
1770210556010,284.98,78.60,155254784,70828032,46525032,44.37,4119588
1770210556111,285.21,78.69,155254784,70828032,46527464,44.37,4119588
1770210556212,285.42,78.76,155254784,70828032,46529768,44.37,4119588
1770210556312,285.75,78.88,155254784,70828032,46532072,44.38,4119588
1770210556413,286.15,79.00,155254784,70828032,46534376,44.38,4119588
1770210556514,287.14,79.14,155254784,70828032,46536776,44.38,4119588
1770210556615,287.61,79.31,155271168,70828032,46539176,44.38,4119588
1770210556716,287.95,79.46,155271168,70828032,46541304,44.39,4119588
1770210556816,288.30,79.61,155271168,70828032,46543352,44.39,4119588
1770210556917,288.65,79.73,155271168,70828032,46545400,44.39,4119588
1770210557018,289.05,79.89,155271168,70828032,46547448,44.39,4119588
1770210557119,289.36,80.04,155271168,70828032,46549496,44.39,4119588
1770210557219,294.12,80.81,155598848,71090176,47126040,44.94,4129114
1770210557320,294.26,80.85,155598848,71090176,47128112,44.94,4129114
1770210557422,294.43,80.91,155598848,71090176,47130160,44.95,4129114
1770210557523,301.05,82.98,155828224,71352320,47633648,45.43,4130448
1770210557624,301.43,83.13,155828224,71352320,47635720,45.43,4130448
1770210557725,306.94,84.89,155893760,71352320,47918432,45.70,4139974
1770210557826,307.28,85.00,155893760,71352320,47920504,45.70,4139974
1770210557927,307.64,85.16,155893760,71352320,47922552,45.70,4139974
1770210558027,313.33,87.22,155942912,71614464,48233600,46.00,4141308
1770210558129,313.70,87.38,155942912,71614464,48235672,46.00,4141308
1770210558230,319.43,89.44,156041216,71614464,48513968,46.27,4150834
1770210558331,319.71,89.57,156041216,71614464,48516040,46.27,4150834
1770210558433,320.10,89.72,156041216,71614464,48518088,46.27,4150834
1770210558533,330.56,92.12,156385280,71876608,49173584,46.90,4152168
1770210558635,330.84,92.26,156385280,71876608,49175656,46.90,4152168
1770210558735,335.97,94.22,156385280,71876608,49453104,47.16,4161694
1770210558836,336.64,94.38,156385280,71876608,49459040,47.17,4161694
1770210558937,336.97,94.53,156385280,71876608,49461088,47.17,4161694
1770210559038,341.17,96.51,156418048,71876608,49738424,47.43,4163028
1770210559139,341.51,96.63,156418048,71876608,49740496,47.44,4163028
1770210559240,345.66,98.68,156450816,71876608,50018080,47.70,4172554
1770210559341,345.91,98.79,156450816,71876608,50020200,47.70,4172554
1770210559442,346.19,98.91,156450816,71876608,50022264,47.70,4172554
1770210559543,350.34,100.90,156467200,71876608,50299544,47.97,4173888
1770210559644,350.54,100.99,156467200,71876608,50301632,47.97,4173888
1770210559745,363.34,105.21,164052992,80003072,45905496,43.78,4183416
1770210559845,363.56,105.30,164052992,80003072,45907584,43.78,4183416
1770210559946,363.89,105.45,164052992,80003072,45909648,43.78,4183416
1770210560047,367.67,107.13,164052992,80003072,46187152,44.05,4125338
1770210560148,367.86,107.19,164052992,80003072,46189240,44.05,4125338
1770210560249,373.24,109.14,164052992,80003072,46467024,44.31,4134866
1770210560350,373.48,109.25,164052992,80003072,46469112,44.32,4134866
1770210560451,373.70,109.37,164052992,80003072,46471176,44.32,4134866
1770210560552,374.94,110.16,164052992,80003072,46748568,44.58,4136202
1770210560653,375.09,110.22,164052992,80003072,46750656,44.58,4136202
1770210560753,378.90,112.02,164052992,80003072,47028280,44.85,4145730
1770210560855,379.15,112.12,164052992,80003072,47030368,44.85,4145730
1770210560956,379.49,112.28,164052992,80003072,47032432,44.85,4145730
1770210561058,382.83,114.09,164085760,80003072,47309856,45.12,4147066
1770210561158,383.00,114.15,164085760,80003072,47311944,45.12,4147066
1770210561260,389.11,116.11,164085760,80003072,47589920,45.39,4156594
1770210561360,389.37,116.25,164085760,80003072,47592008,45.39,4156594
1770210561461,389.63,116.40,164085760,80003072,47594072,45.39,4156594
1770210561561,392.17,117.97,164085760,80003072,47871464,45.65,4157930
1770210561662,392.44,118.07,164085760,80003072,47873552,45.66,4157930
1770210561763,396.39,119.91,164085760,80003072,48151272,45.92,4167458
1770210561865,396.67,120.02,164085760,80003072,48153360,45.92,4167458
1770210561966,397.00,120.17,164085760,80003072,48155424,45.92,4167458
1770210562066,403.64,121.99,164167680,80003072,48433024,46.19,4168794
1770210562167,403.94,122.11,164167680,80003072,48435112,46.19,4168794
1770210562268,407.74,124.04,164167680,80003072,48712736,46.46,4178322
1770210562369,408.01,124.16,164167680,80003072,48714824,46.46,4178322
1770210562470,408.36,124.29,164167680,80003072,48716888,46.46,4178322
1770210562571,412.95,126.01,164167680,80003072,49015280,46.74,4179658
1770210562672,413.25,126.13,164167680,80003072,49017368,46.75,4179658
1770210562773,417.11,128.15,164184064,80003072,49294984,47.01,4189186
1770210562874,417.38,128.27,164184064,80003072,49297072,47.01,4189186
1770210562975,417.68,128.41,164184064,80003072,49299136,47.02,4189186
1770210563076,423.11,130.20,164216832,80003072,49576464,47.28,4190522
1770210563176,423.43,130.32,164216832,80003072,49578552,47.28,4190522
1770210563277,429.25,132.30,164216832,80003072,49856168,47.55,4200050
1770210563378,429.50,132.41,164216832,80003072,49858256,47.55,4200050
1770210563479,429.76,132.53,164216832,80003072,49860320,47.55,4200050
1770210563580,433.08,134.04,164216832,80003072,50137728,47.82,4201386
1770210563681,487.43,140.89,132186112,46710784,39677688,37.84,4118831
1770210563782,493.71,142.37,132186112,46710784,40045968,38.19,4128359
1770210563882,493.96,142.48,132186112,46710784,40048024,38.19,4128359
1770210563984,494.23,142.59,132186112,46710784,40050056,38.19,4128359
1770210564086,498.74,144.64,132186112,46710784,40325800,38.46,4129695
1770210564186,499.06,144.76,132186112,46710784,40327856,38.46,4129695
1770210564287,576.18,152.39,127795200,43302912,39799040,37.96,4128359
1770210564389,576.44,152.49,127795200,43302912,39801144,37.96,4128359
1770210564489,576.75,152.63,127795200,43302912,39803176,37.96,4128359
1770210564590,583.68,154.66,128073728,43302912,40275760,38.41,4129695
1770210564690,583.96,154.76,128073728,43302912,40277768,38.41,4129695
1770210564791,586.77,156.31,128352256,43302912,40542656,38.66,4139223
1770210564892,655.03,159.29,127664128,42778624,39649424,37.81,4118831
1770210564993,655.32,159.40,127664128,42778624,39654240,37.82,4118831
1770210565094,664.62,161.15,127959040,42778624,40011312,38.16,4120167
1770210565195,664.91,161.28,127959040,42778624,40013320,38.16,4120167
1770210565297,668.08,163.07,128221184,42778624,40269752,38.40,4129695
1770210565396,668.33,163.16,128221184,42778624,40271760,38.41,4129695
1770210565497,668.62,163.29,128221184,42778624,40273744,38.41,4129695
1770210565598,672.68,165.28,128466944,42778624,40529872,38.65,4131031
1770210565699,672.97,165.42,128466944,42778624,40531880,38.65,4131031
1770210565800,679.21,167.11,129056768,45924352,39923888,38.07,4129695
1770210565901,679.45,167.21,129056768,45924352,39925872,38.08,4129695
1770210566002,679.74,167.33,129056768,45924352,39927856,38.08,4129695
1770210566104,685.23,169.38,129302528,45924352,40182424,38.32,4131031
1770210566205,685.55,169.54,129302528,45924352,40184408,38.32,4131031
1770210566307,692.23,171.34,129630208,45924352,40573104,38.69,4140559
1770210566408,692.37,171.41,129630208,45924352,40575112,38.70,4140559
1770210566511,693.97,172.41,129761280,45924352,40702752,38.82,4141229
1770210566613,694.84,173.10,129875968,45924352,40829528,38.94,4141895
1770210566714,694.98,173.16,129875968,45924352,40831536,38.94,4141895
1770210566815,697.78,175.06,130121728,45924352,41084096,39.18,4151423
1770210566917,698.02,175.16,130121728,45924352,41086104,39.18,4151423
1770210567016,701.16,177.15,130351104,45924352,41338520,39.42,4152759
1770210567117,701.33,177.22,130351104,45924352,41340528,39.43,4152759
1770210567218,701.61,177.37,130367488,45924352,41342512,39.43,4152759
1770210567319,705.38,179.14,130629632,45924352,41601728,39.67,4162287
1770210567421,705.67,179.28,130629632,45924352,41603736,39.68,4162287
1770210567520,711.56,181.16,130777088,45924352,40206304,38.34,4163623
1770210567621,711.75,181.22,130777088,45924352,40208312,38.35,4163623
1770210567722,712.08,181.35,130777088,45924352,40210296,38.35,4163623
1770210567823,715.27,183.02,130826240,46186496,40720728,38.83,4138553
1770210567924,715.59,183.15,130826240,46186496,40722736,38.84,4138553
1770210568025,718.95,185.18,130826240,46186496,40975104,39.08,4139889
1770210568126,719.14,185.25,130826240,46186496,40977112,39.08,4139889
1770210568227,719.46,185.39,130826240,46186496,40979096,39.08,4139889
1770210568328,733.77,187.68,131072000,46186496,41232976,39.32,4149417
1770210568429,734.05,187.83,131088384,46186496,41234984,39.32,4149417
1770210568530,737.25,189.80,131317760,46186496,41483840,39.56,4150753
1770210568631,737.42,189.86,131317760,46186496,41485848,39.56,4150753
1770210568732,737.69,189.97,131317760,46186496,41487832,39.57,4150753
1770210568832,742.75,192.09,131579904,46186496,41737080,39.80,4160281
1770210568932,743.06,192.22,131579904,46186496,41739088,39.81,4160281
1770210569032,746.50,194.13,131825664,46186496,41987984,40.04,4161617
1770210569134,746.65,194.19,131825664,46186496,41989992,40.04,4161617
1770210569234,746.91,194.32,131842048,46186496,41991976,40.05,4161617
1770210569335,752.64,196.28,131973120,46186496,40744712,38.86,4171145
1770210569436,752.96,196.41,131973120,46186496,40746720,38.86,4171145
1770210569536,760.11,198.27,131989504,46186496,40996064,39.10,4130361
1770210569637,760.29,198.34,131989504,46186496,40998072,39.10,4130361
1770210569738,760.58,198.47,131989504,46186496,41000056,39.10,4130361
1770210569840,764.44,200.33,132005888,46186496,41244288,39.33,4139889
