timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770225870734,279.47,75.65,155549696,70828032,46487496,44.33,4119229
1770225870835,279.59,75.69,155549696,70828032,46492304,44.34,4119285
1770225870936,279.75,75.77,155549696,70828032,46494632,44.34,4119285
1770225871037,280.42,75.89,155598848,70828032,46524248,44.37,4119285
1770225871138,280.54,75.94,155598848,70828032,46526552,44.37,4119285
1770225871239,280.83,76.00,155598848,70828032,46529320,44.37,4119285
1770225871341,281.02,76.05,155598848,70828032,46531624,44.38,4119285
1770225871442,281.37,76.19,155598848,70828032,46533928,44.38,4119285
1770225871542,281.68,76.31,155598848,70828032,46536232,44.38,4119285
1770225871643,282.50,76.43,155615232,70828032,46538632,44.38,4119285
1770225871745,282.74,76.54,155631616,70828032,46541032,44.38,4119285
1770225871845,282.94,76.63,155631616,70828032,46543160,44.39,4119285
1770225871946,283.19,76.74,155631616,70828032,46545208,44.39,4119285
1770225872048,283.37,76.82,155631616,70828032,46547256,44.39,4119285
1770225872149,283.54,76.91,155631616,70828032,46549304,44.39,4119285
1770225872249,283.79,77.01,155631616,70828032,46551352,44.39,4119285
1770225872351,284.05,77.07,155631616,70828032,46553432,44.40,4119285
1770225872451,288.16,78.02,155926528,71090176,47128584,44.95,4128811
1770225872553,288.29,78.06,155926528,71090176,47130656,44.95,4128811
1770225872653,294.71,80.14,156155904,71352320,47629240,45.42,4130145
1770225872753,294.93,80.21,156155904,71352320,47631312,45.42,4130145
1770225872855,295.30,80.36,156155904,71352320,47633360,45.43,4130145
1770225872955,300.39,82.48,156205056,71352320,47915952,45.70,4139671
1770225873057,300.62,82.57,156205056,71352320,47918024,45.70,4139671
1770225873157,305.75,84.82,156286976,71614464,48229080,45.99,4141005
1770225873258,305.96,84.90,156286976,71614464,48231152,46.00,4141005
1770225873358,306.32,85.05,156286976,71614464,48233200,46.00,4141005
1770225873460,311.62,86.66,156368896,71614464,48511368,46.26,4150531
1770225873562,311.99,86.81,156368896,71614464,48513440,46.27,4150531
1770225873663,317.38,89.38,156401664,71614464,48795952,46.54,4151865
1770225873764,321.95,90.19,156647424,71614464,49047904,46.78,4151865
1770225873864,322.32,90.35,156647424,71614464,49049952,46.78,4151865
1770225873965,326.29,92.42,156712960,71876608,49539528,47.24,4161391
1770225874067,326.98,92.61,156712960,71876608,49545464,47.25,4161391
1770225874168,331.45,94.56,156729344,71876608,49822800,47.51,4162725
1770225874269,331.68,94.68,156729344,71876608,49824872,47.52,4162725
1770225874370,332.08,94.88,156729344,71876608,49826888,47.52,4162725
1770225874471,336.06,97.17,156745728,71876608,50104536,47.78,4172251
1770225874573,336.40,97.34,156745728,71876608,50106624,47.79,4172251
1770225874673,339.93,99.41,156745728,71876608,50383896,48.05,4173585
1770225874775,340.18,99.52,156745728,71876608,50385984,48.05,4173585
1770225874875,340.48,99.66,156745728,71876608,50388048,48.05,4173585
1770225874977,353.26,104.08,164364288,79740928,46059456,43.93,4183113
1770225875078,353.43,104.19,164364288,79740928,46061544,43.93,4183113
1770225875179,357.06,105.94,164364288,79740928,46339040,44.19,4125237
1770225875280,357.21,106.02,164364288,79740928,46341128,44.19,4125237
1770225875380,357.40,106.12,164364288,79740928,46343192,44.20,4125237
1770225875481,361.91,108.01,164364288,79740928,46620912,44.46,4134765
1770225875583,362.09,108.11,164364288,79740928,46623000,44.46,4134765
1770225875684,365.21,109.75,164380672,79740928,46900328,44.73,4136101
1770225875784,365.30,109.80,164380672,79740928,46902416,44.73,4136101
1770225875885,365.44,109.89,164380672,79740928,46904480,44.73,4136101
1770225875987,368.53,111.52,164380672,79740928,47182056,45.00,4145629
1770225876088,368.73,111.61,164380672,79740928,47184144,45.00,4145629
1770225876188,370.22,112.50,164397056,79740928,47461520,45.26,4146965
1770225876290,370.34,112.55,164397056,79740928,47463608,45.26,4146965
1770225876391,370.53,112.63,164397056,79740928,47465672,45.27,4146965
1770225876491,374.34,114.56,164397056,79740928,47743344,45.53,4156493
1770225876592,374.51,114.66,164397056,79740928,47745432,45.53,4156493
1770225876691,377.81,116.46,164397056,79740928,48022896,45.80,4157829
1770225876793,377.97,116.53,164397056,79740928,48024984,45.80,4157829
1770225876894,378.18,116.63,164397056,79740928,48027048,45.80,4157829
1770225876994,381.85,118.46,164413440,79740928,48304792,46.07,4167357
1770225877095,381.98,118.56,164413440,79740928,48306880,46.07,4167357
1770225877197,388.86,120.41,164462592,79740928,48584776,46.33,4168693
1770225877298,389.04,120.48,164462592,79740928,48586864,46.34,4168693
1770225877399,389.29,120.61,164462592,79740928,48588928,46.34,4168693
1770225877501,392.47,122.50,164462592,79740928,48866512,46.60,4178221
1770225877601,392.63,122.59,164462592,79740928,48868600,46.60,4178221
1770225877702,396.65,124.46,164495360,79740928,49166960,46.89,4179557
1770225877804,396.83,124.54,164495360,79740928,49169048,46.89,4179557
