timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770214155639,288.37,76.32,154632192,70418432,47768704,45.56,4119532
1770214155740,288.52,76.39,154632192,70418432,47773512,45.56,4119588
1770214155841,289.08,76.47,154648576,70418432,47803176,45.59,4119588
1770214155942,289.29,76.56,154648576,70418432,47805512,45.59,4119588
1770214156042,289.85,76.65,154664960,70418432,47808520,45.59,4119588
1770214156142,290.17,76.83,154681344,70680576,48068264,45.84,4119588
1770214156244,290.44,76.92,154681344,70680576,48070696,45.84,4119588
1770214156344,290.71,77.04,154681344,70680576,48073000,45.85,4119588
1770214156446,291.04,77.16,154681344,70680576,48075304,45.85,4119588
1770214156546,291.91,77.28,154681344,70680576,48077704,45.85,4119588
1770214156648,292.16,77.39,154697728,70680576,48080104,45.85,4119588
1770214156748,292.32,77.48,154697728,70680576,48082232,45.85,4119588
1770214156849,292.54,77.58,154697728,70680576,48084280,45.86,4119588
1770214156951,292.92,77.73,154697728,70680576,48086328,45.86,4119588
1770214157051,293.33,77.90,154697728,70680576,48088376,45.86,4119588
1770214157152,293.52,77.97,154697728,70680576,48090424,45.86,4119588
1770214157253,294.02,78.15,154714112,70680576,48092504,45.86,4119588
1770214157353,294.43,78.32,154714112,70680576,48094552,45.87,4119588
1770214157455,294.74,78.40,154714112,70680576,48096600,45.87,4119588
1770214157556,295.03,78.53,154714112,70680576,48098648,45.87,4119588
1770214157657,295.29,78.63,154714112,70680576,48100696,45.87,4119588
1770214157759,295.65,78.74,154714112,70680576,48102744,45.87,4119588
1770214157859,295.93,78.88,154714112,70680576,48104792,45.88,4119588
1770214157961,296.14,78.94,154714112,70680576,48106840,45.88,4119588
1770214158062,296.40,79.09,154714112,70680576,48108888,45.88,4119588
1770214158161,296.58,79.19,154714112,70680576,48110936,45.88,4119588
1770214158263,296.75,79.30,154714112,70680576,48112984,45.88,4119588
1770214158364,296.89,79.39,154714112,70680576,48115032,45.89,4119588
1770214158465,297.00,79.44,154714112,70680576,48117080,45.89,4119588
1770214158566,301.88,79.86,155058176,70680576,48141880,45.91,4119588
1770214158667,302.00,79.94,155058176,70680576,48143928,45.91,4119588
1770214158767,302.26,80.03,155058176,70680576,48146200,45.92,4127780
1770214158869,303.04,80.24,155058176,70680576,48152168,45.92,4127780
1770214158969,303.33,80.37,155058176,70680576,48154216,45.92,4127780
1770214159071,303.63,80.48,155058176,70680576,48156264,45.93,4127780
1770214159171,304.24,80.64,155074560,70680576,48158312,45.93,4127780
1770214159273,304.40,80.69,155074560,70680576,48160328,45.93,4127780
1770214159374,304.68,80.83,155074560,70680576,48162424,45.93,4127780
1770214159475,304.93,80.98,155074560,70680576,48164488,45.93,4127780
1770214159577,305.10,81.08,155074560,70680576,48166552,45.94,4127780
1770214159678,305.26,81.18,155074560,70680576,48168616,45.94,4127780
1770214159779,305.44,81.29,155074560,70680576,48170680,45.94,4127780
1770214159880,305.62,81.40,155074560,70680576,48172744,45.94,4127780
1770214159981,305.78,81.47,155074560,70680576,48174808,45.94,4127780
1770214160083,306.09,81.60,155074560,70680576,48176872,45.95,4127780
1770214160183,306.41,81.74,155074560,70680576,48178936,45.95,4127780
1770214160285,306.71,81.86,155074560,70680576,48181000,45.95,4127780
1770214160385,306.99,81.97,155074560,70680576,48183064,45.95,4127780
1770214160486,307.23,82.11,155074560,70680576,48185128,45.95,4127780
1770214160587,307.42,82.24,155074560,70680576,48187192,45.95,4127780
1770214160688,307.58,82.33,155074560,70680576,48189256,45.96,4127780
1770214160790,307.74,82.43,155074560,70680576,48191320,45.96,4127780
1770214160891,307.86,82.51,155074560,70680576,48193384,45.96,4127780
1770214160992,308.01,82.57,155074560,70680576,48195448,45.96,4127780
1770214161093,308.26,82.69,155074560,70680576,48197512,45.96,4127780
1770214161195,308.43,82.79,155074560,70680576,48199576,45.97,4127780
1770214161296,308.53,82.83,155074560,70680576,48201640,45.97,4127780
1770214161397,308.66,82.88,155074560,70680576,48203704,45.97,4127780
1770214161498,308.87,82.98,155074560,70680576,48205768,45.97,4127780
1770214161599,309.14,83.13,155074560,70680576,48207888,45.97,4127780
1770214161700,309.28,83.20,155074560,70680576,48209952,45.98,4127780
1770214161802,309.39,83.27,155074560,70680576,48212016,45.98,4127780
1770214161902,309.57,83.34,155074560,70680576,48214080,45.98,4127780
1770214162003,309.77,83.43,155074560,70680576,48216144,45.98,4127780
1770214162105,309.93,83.51,155074560,70680576,48218208,45.98,4127780
1770214162206,310.08,83.58,155074560,70680576,48220272,45.99,4127780
1770214162306,310.20,83.67,155074560,70680576,48222336,45.99,4127780
1770214162407,310.34,83.74,155074560,70680576,48224400,45.99,4127780
1770214162509,310.55,83.86,155074560,70680576,48226464,45.99,4127780
1770214162610,310.74,83.93,155074560,70680576,48228528,45.99,4127780
1770214162710,310.95,84.07,155074560,70680576,48230592,46.00,4127780
1770214162811,311.08,84.15,155074560,70680576,48232656,46.00,4127780
1770214162913,311.24,84.24,155074560,70680576,48234720,46.00,4127780
1770214163013,311.41,84.34,155074560,70680576,48236784,46.00,4127780
1770214163114,311.54,84.43,155074560,70680576,48238848,46.00,4127780
1770214163215,311.67,84.50,155074560,70680576,48240912,46.01,4127780
1770214163316,316.43,85.18,155385856,71204864,49030832,46.76,4129114
1770214163416,316.52,85.21,155385856,71204864,49032920,46.76,4129114
1770214163518,320.24,86.02,155484160,71204864,49176840,46.90,4137975
1770214163619,323.18,86.82,155533312,71204864,49321528,47.04,4138640
1770214163720,399.77,95.83,127434752,42778624,39209848,37.39,4118831
1770214163822,405.66,97.32,127533056,42778624,39753216,37.91,4120165
1770214163923,405.88,97.42,127533056,42778624,39755304,37.91,4120165
1770214164025,410.14,99.01,127565824,42778624,40033976,38.18,4129691
1770214164126,410.32,99.11,127565824,42778624,40036064,38.18,4129691
1770214164228,410.59,99.23,127565824,42778624,40038128,38.18,4129691
1770214164329,489.37,104.80,126976000,42778624,39755336,37.91,4120165
1770214164430,489.60,104.88,126976000,42778624,39757472,37.92,4120165
1770214164530,494.22,106.61,127254528,42778624,40050184,38.19,4129691
1770214164631,494.41,106.68,127270912,42778624,40052272,38.20,4129691
1770214164733,494.67,106.82,127270912,42778624,40054336,38.20,4129691
1770214164833,499.07,108.40,127549440,42778624,40337112,38.47,4131025
1770214164935,499.33,108.52,127549440,42778624,40339200,38.47,4131025
1770214165035,504.70,110.66,128155648,46186496,40140376,38.28,4129691
1770214165136,504.82,110.74,128172032,46186496,40142440,38.28,4129691
1770214165238,504.97,110.83,128172032,46186496,40144504,38.28,4129691
1770214165339,509.23,112.67,128434176,46186496,40422128,38.55,4131025
1770214165439,509.42,112.78,128434176,46186496,40424192,38.55,4131025
1770214165541,513.35,114.75,128696320,46186496,40701808,38.82,4140551
1770214165641,513.51,114.83,128696320,46186496,40703896,38.82,4140551
1770214165742,513.68,114.96,128729088,46186496,40705960,38.82,4140551
1770214165843,517.76,116.58,129007616,46186496,40983384,39.08,4141887
1770214165944,517.98,116.68,129007616,46186496,40985472,39.09,4141887
1770214166046,521.88,118.34,129302528,46186496,41263168,39.35,4151415
1770214166147,522.07,118.41,129302528,46186496,41265256,39.35,4151415
1770214166247,522.23,118.47,129302528,46186496,41267320,39.36,4151415
1770214166348,527.50,120.25,129581056,46186496,41544880,39.62,4152751
1770214166450,527.74,120.35,129581056,46186496,41546968,39.62,4152751
1770214166550,532.60,122.24,129941504,46448640,40254800,38.39,4162279
1770214166652,532.76,122.29,129941504,46448640,40256888,38.39,4162279
1770214166753,532.98,122.37,129941504,46448640,40258952,38.39,4162279
1770214166854,536.83,124.11,129941504,46448640,40536368,38.66,4130362
1770214166954,537.07,124.21,129941504,46448640,40538456,38.66,4130362
1770214167056,540.90,125.93,129957888,46448640,40816056,38.93,4139890
1770214167156,541.08,126.02,129957888,46448640,40818144,38.93,4139890
1770214167257,541.27,126.12,129957888,46448640,40820208,38.93,4139890
1770214167359,545.62,127.94,130236416,46448640,41097776,39.19,4141226
1770214167460,545.88,128.05,130236416,46448640,41099864,39.20,4141226
1770214167561,549.75,130.15,130514944,46448640,41377464,39.46,4150754
1770214167661,550.03,130.27,130514944,46448640,41379552,39.46,4150754
1770214167763,550.38,130.42,130514944,46448640,41381616,39.46,4150754
1770214167864,554.20,132.26,130826240,46448640,41659008,39.73,4152090
1770214167964,554.49,132.39,130826240,46448640,41661096,39.73,4152090
1770214168065,563.37,134.47,131334144,46448640,40456536,38.58,4161618
1770214168167,563.51,134.54,131334144,46448640,40458624,38.58,4161618
1770214168268,563.68,134.64,131350528,46448640,40460688,38.59,4161618
1770214168368,567.48,136.50,131350528,46448640,40738152,38.85,4130362
1770214168469,567.64,136.57,131350528,46448640,40740216,38.85,4130362
1770214168570,571.90,138.25,131383296,46448640,41018200,39.12,4139890
1770214168672,572.07,138.33,131383296,46448640,41020264,39.12,4139890
1770214168773,572.26,138.43,131383296,46448640,41022328,39.12,4139890
1770214168873,575.86,140.18,131383296,46448640,41299728,39.39,4141226
1770214168975,576.08,140.28,131383296,46448640,41301792,39.39,4141226
1770214169076,581.48,142.22,131416064,46448640,41579456,39.65,4150754
