window_number,query_registered_at,first_data_received_at,expected_window_close,last_obs_received_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,latency_from_last_obs_ms,result_value
1,1770222560005,1770222562906,1770222680005,1770222623093,1770222623231,-56774,-59675,138,-23
2,1770222560005,1770222562906,1770222740005,1770222743163,1770222743337,3332,431,174,-20.288702928870293
1,1770223525062,1770223528001,1770223645062,1770223588191,1770223588330,-56732,-59671,139,-23
1,1770223706104,1770223708860,1770223826104,1770223769036,1770223769174,-56930,-59686,138,-22.92468619246862
1,1770223886901,1770223889646,1770224006901,1770223949825,1770223949965,-56936,-59681,140,-22.99835859832636
1,1770224067723,1770224070485,1770224187723,1770224130676,1770224130813,-56910,-59672,137,-22.991124184100418
1,1770224248684,1770224251340,1770224368684,1770224311538,1770224311681,-57003,-59659,143,-23.010711887029288
1,1770225071136,1770225098172,1770225191136,1770225158336,1770225158483,-32653,-59689,147,-22.92468619246862
1,1770225626521,1770225628228,1770225746521,1770225688431,1770225688573,-57948,-59655,142,-22.986433309623433
2,1770225626521,1770225628228,1770225806521,1770225808447,1770225808619,2098,391,172,-22.98755571548117
