timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770208736738,294.68,112.91,107888640,63602688,41479008,39.56,3092718
1770208736840,294.92,112.99,107888640,63602688,41483768,39.56,3092774
1770208736941,295.25,113.15,107888640,63602688,41486128,39.56,3092774
1770208737043,295.57,113.22,107888640,63602688,41488840,39.57,3092774
1770208737144,295.95,113.34,107921408,63602688,41491144,39.57,3092774
1770208737245,296.82,113.54,107954176,63602688,41493448,39.57,3092774
1770208737345,297.05,113.60,107954176,63602688,41495944,39.57,3092774
1770208737446,297.43,113.75,107954176,63602688,41498280,39.58,3092774
1770208737547,298.06,113.92,107954176,63602688,41500616,39.58,3092774
1770208737647,298.49,114.09,107413504,63602688,41502920,39.58,3092774
1770208737749,298.93,114.27,107429888,63602688,41505288,39.58,3092774
1770208737849,299.28,114.41,107429888,63602688,41507416,39.58,3092774
1770208737949,299.79,114.51,106659840,63602688,41509728,39.59,3092774
1770208738051,300.12,114.64,106659840,63602688,41511776,39.59,3092774
1770208738151,300.53,114.73,106528768,63602688,41513856,39.59,3092774
1770208738253,305.19,115.61,106692608,64126976,42410536,40.45,3102305
1770208738354,305.25,115.66,106692608,64126976,42412608,40.45,3102305
1770208738455,305.36,115.71,106692608,64126976,42414656,40.45,3102305
1770208738556,313.40,118.28,107151360,64126976,42723216,40.74,3111835
1770208738657,313.73,118.40,107151360,64126976,42725288,40.75,3111835
1770208738758,320.17,120.69,107560960,64126976,43035568,41.04,3121365
1770208738859,320.51,120.83,107577344,64126976,43037640,41.04,3121365
1770208738961,320.88,120.97,106381312,64126976,43039688,41.05,3121365
1770208739062,339.20,126.96,109953024,68993024,41290280,39.38,3109808
1770208739163,339.58,127.11,109953024,68993024,41292352,39.38,3109808
1770208739264,345.80,129.06,110051328,68993024,41594736,39.67,3119338
1770208739365,346.12,129.19,110051328,68993024,41596808,39.67,3119338
1770208739466,346.48,129.34,110051328,68993024,41598856,39.67,3119338
1770208739567,352.28,131.34,110100480,68993024,41905712,39.96,3128868
1770208739668,352.62,131.49,110100480,68993024,41907784,39.97,3128868
1770208739768,358.03,133.54,105693184,68993024,42209680,40.25,3138398
1770208739870,358.36,133.67,105693184,68993024,42211752,40.26,3138398
1770208739970,358.67,133.81,105693184,68993024,42213800,40.26,3138398
1770208740071,363.19,135.75,105709568,68993024,42515392,40.55,3147928
1770208740172,363.53,135.88,105709568,68993024,42517464,40.55,3147928
1770208740273,369.04,137.91,105742336,68993024,42830912,40.85,3157458
1770208740374,369.28,138.02,105742336,68993024,42832952,40.85,3157458
1770208740474,369.47,138.13,105742336,68993024,42835048,40.85,3157458
1770208740576,373.65,140.00,105807872,68993024,43137200,41.14,3166988
1770208740676,373.93,140.12,105807872,68993024,43139288,41.14,3166988
1770208740777,378.36,142.23,106086400,68993024,43451544,41.44,3176520
1770208740878,378.56,142.30,106086400,68993024,43453632,41.44,3176520
1770208740978,378.82,142.43,106086400,68993024,43455696,41.44,3176520
1770208741080,383.05,144.51,106135552,68993024,43757680,41.73,3186052
1770208741181,383.30,144.64,106135552,68993024,43759768,41.73,3186052
1770208741282,389.54,146.42,106217472,68993024,44062208,42.02,3195584
1770208741383,389.64,146.47,106217472,68993024,44064296,42.02,3195584
1770208741483,389.73,146.53,106217472,68993024,44066360,42.02,3195584
1770208741585,390.87,147.26,106364928,68993024,44368232,42.31,3205116
1770208741686,390.96,147.31,106364928,68993024,44370336,42.31,3205116
1770208741787,396.45,149.54,106381312,68993024,44672248,42.60,3214648
1770208741888,396.77,149.68,106381312,68993024,44674336,42.60,3214648
