timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770208006298,232.55,72.94,107298816,63340544,41584008,39.66,3092718
1770208006399,232.75,72.98,107298816,63340544,41588768,39.66,3092774
1770208006501,233.15,73.13,107315200,63340544,41591128,39.66,3092774
1770208006602,233.58,73.31,107315200,63340544,41593432,39.67,3092774
1770208006704,234.10,73.49,107315200,63340544,41596144,39.67,3092774
1770208006806,234.84,73.70,107347968,63340544,41598448,39.67,3092774
1770208006906,235.36,73.86,107347968,63340544,41600944,39.67,3092774
1770208007008,235.76,74.02,107347968,63340544,41603280,39.68,3092774
1770208007110,236.05,74.12,107347968,63340544,41605616,39.68,3092774
1770208007210,236.22,74.17,107364352,63340544,41607920,39.68,3092774
1770208007311,236.36,74.24,107380736,63340544,41610288,39.68,3092774
1770208007412,236.49,74.30,107380736,63340544,41612416,39.68,3092774
1770208007514,236.95,74.39,107397120,63340544,41614600,39.69,3092774
1770208007615,237.34,74.55,107413504,63340544,41616776,39.69,3092774
1770208007716,237.99,74.69,107413504,63340544,41618856,39.69,3092774
1770208007817,238.38,74.83,107413504,63340544,41620904,39.69,3092774
1770208007919,238.59,74.91,107413504,63340544,41622952,39.69,3092774
1770208008019,244.78,76.61,108134400,63864832,42544416,40.57,3102305
1770208008121,244.97,76.67,108134400,63864832,42546488,40.58,3102305
1770208008221,251.90,78.67,108675072,63864832,42854880,40.87,3111835
1770208008322,252.09,78.74,108675072,63864832,42856952,40.87,3111835
1770208008423,252.42,78.87,108675072,63864832,42859000,40.87,3111835
1770208008523,273.14,87.27,114081792,68993024,41028032,39.13,3109808
1770208008625,273.42,87.41,114081792,68993024,41030104,39.13,3109808
1770208008725,279.06,90.03,114147328,69255168,41547960,39.62,3119338
1770208008826,279.27,90.11,114147328,69255168,41550032,39.63,3119338
1770208008928,279.62,90.25,114147328,69255168,41552080,39.63,3119338
1770208009028,285.91,91.99,114229248,69255168,41854408,39.92,3128868
1770208009130,286.17,92.10,114229248,69255168,41856480,39.92,3128868
1770208009230,291.11,94.11,114278400,69255168,42163480,40.21,3138398
1770208009329,291.32,94.18,114278400,69255168,42165552,40.21,3138398
1770208009431,291.62,94.30,114278400,69255168,42167600,40.21,3138398
1770208009531,296.02,96.16,114311168,69255168,42469488,40.50,3147928
1770208009633,296.22,96.25,114311168,69255168,42471560,40.50,3147928
1770208009733,300.63,98.30,114360320,69255168,42805920,40.82,3157458
1770208009833,300.97,98.39,114376704,69255168,42807992,40.82,3157458
1770208009935,301.22,98.49,114376704,69255168,42810008,40.83,3157458
