Approach,Run,WindowTimestamp,Latency(ms),Result,GroundTruth,AbsError,RelError(%)
Approximation,1,1765902852736,141722,0.9412997,0.9412997,0.000000,0.00
Chunked,1,1765902854299,902089,3.9639792,0.9412997,3.022679,321.12
Approximation,2,1765903029697,141669,0.9412997,0.70442444,0.236875,33.63
Chunked,2,1765903031158,722071,3.9639792,0.70442444,3.259555,462.73
Approximation,3,1765903206692,141559,0.9412997,0.9412997,0.000000,0.00
Chunked,3,1765903208052,542093,3.9639792,0.9412997,3.022679,321.12
Approximation,4,1765903383427,141277,3.9639792,0.9412997,3.022679,321.12
Chunked,4,1765903384914,362062,3.9639792,0.9412997,3.022679,321.12
Approximation,5,1765903560402,141731,0.9412997,0.9412997,0.000000,0.00
Chunked,5,1765903561855,182089,3.9639792,0.9412997,3.022679,321.12
