timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1770278421325,239.86,83.01,107102208,63602688,41392616,39.48,3092718
1770278421426,240.04,83.06,107102208,63602688,41397216,39.48,3092774
1770278421527,240.24,83.13,107102208,63602688,41399704,39.48,3092774
1770278421629,240.66,83.23,107134976,63602688,41402448,39.48,3092774
1770278421730,241.08,83.39,107151360,63602688,41404752,39.49,3092774
1770278421831,241.41,83.56,107151360,63602688,41407056,39.49,3092774
1770278421931,241.73,83.65,107167744,63602688,41409360,39.49,3092774
1770278422033,241.91,83.71,107167744,63602688,41411856,39.49,3092774
1770278422134,242.20,83.79,107167744,63602688,41414160,39.50,3092774
1770278422234,242.80,83.87,107167744,63602688,41416496,39.50,3092774
1770278422335,243.31,84.06,107184128,63602688,41419008,39.50,3092774
1770278422435,243.71,84.22,107184128,63602688,41421136,39.50,3092774
1770278422536,244.55,84.39,107200512,63602688,41423448,39.50,3092774
1770278422638,244.93,84.54,107200512,63602688,41425496,39.51,3092774
1770278422739,245.29,84.69,107200512,63602688,41427544,39.51,3092774
1770278422840,245.66,84.83,107200512,63602688,41429592,39.51,3092774
1770278422940,246.37,85.07,107216896,63602688,41431672,39.51,3092774
1770278423042,246.55,85.14,107216896,63602688,41433720,39.51,3092774
1770278423143,246.80,85.25,107216896,63602688,41435768,39.52,3092774
1770278423244,247.12,85.40,107216896,63602688,41437816,39.52,3092774
1770278423345,247.50,85.55,107216896,63602688,41439864,39.52,3092774
1770278423445,247.93,85.70,107216896,63602688,41441912,39.52,3092774
1770278423547,248.27,85.86,107216896,63602688,41443960,39.52,3092774
1770278423648,248.64,86.04,107216896,63602688,41446008,39.53,3092774
1770278423750,249.00,86.23,107233280,63602688,41448056,39.53,3092774
1770278423851,249.26,86.34,107233280,63602688,41450104,39.53,3092774
1770278423952,254.93,87.16,107970560,63864832,42386240,40.42,3102305
1770278424052,255.02,87.21,107970560,63864832,42388312,40.42,3102305
1770278424153,255.14,87.27,107986944,63864832,42390360,40.43,3102305
1770278424254,262.05,88.93,108478464,63864832,42698616,40.72,3111835
1770278424355,262.42,89.07,108478464,63864832,42700688,40.72,3111835
1770278424455,269.30,90.75,108871680,63864832,43010656,41.02,3121365
1770278424557,269.52,90.85,108871680,63864832,43012728,41.02,3121365
1770278424659,277.16,93.16,114343936,68468736,40899512,39.00,3122036
1770278424760,278.87,93.66,114196480,68730880,41267080,39.36,3109808
1770278424861,279.45,93.78,114196480,68730880,41269152,39.36,3109808
