timestamp_ms,value
0,-23
250,-20.878679656440358
500,-20
750,-20.878679656440358
1000,-23
1250,-25.121320343559642
1500,-26
1750,-25.121320343559642
2000,-23
2250,-20.878679656440358
2500,-20
2750,-20.878679656440355
3000,-23
3250,-25.121320343559645
3500,-26
3750,-25.121320343559645
4000,-23
4250,-20.878679656440358
4500,-20
4750,-20.878679656440355
5000,-22.999999999999996
5250,-25.121320343559642
5500,-26
5750,-25.121320343559645
6000,-23.000000000000004
6250,-20.878679656440358
6500,-20
6750,-20.878679656440355
7000,-22.999999999999996
7250,-25.121320343559642
7500,-26
7750,-25.121320343559645
8000,-23.000000000000004
8250,-20.878679656440358
8500,-20
8750,-20.878679656440355
9000,-22.999999999999996
9250,-25.121320343559642
9500,-26
9750,-25.121320343559645
10000,-23.000000000000004
10250,-20.878679656440365
10500,-20
10750,-20.878679656440355
11000,-22.999999999999986
11250,-25.121320343559642
11500,-26
11750,-25.12132034355964
12000,-23.000000000000004
12250,-20.878679656440365
12500,-20
12750,-20.87867965644035
13000,-23.000000000000007
13250,-25.121320343559642
13500,-26
13750,-25.12132034355964
14000,-23.000000000000004
14250,-20.87867965644037
14500,-20
14750,-20.87867965644035
15000,-22.999999999999982
15250,-25.12132034355964
15500,-26
15750,-25.121320343559642
16000,-23.000000000000007
16250,-20.87867965644037
16500,-20
16750,-20.87867965644035
17000,-23.000000000000004
17250,-25.12132034355964
17500,-26
17750,-25.121320343559642
18000,-23.000000000000007
18250,-20.87867965644037
18500,-20
18750,-20.87867965644035
19000,-22.999999999999982
19250,-25.12132034355964
19500,-26
19750,-25.121320343559642
20000,-23.000000000000007
20250,-20.87867965644037
20500,-20
20750,-20.878679656440365
21000,-23.000000000000004
21250,-25.12132034355964
21500,-26
21750,-25.12132034355966
22000,-23.00000000000003
22250,-20.878679656440355
22500,-20
22750,-20.87867965644035
23000,-22.999999999999982
23250,-25.121320343559624
23500,-26
23750,-25.121320343559642
24000,-23.000000000000007
24250,-20.87867965644037
24500,-20
24750,-20.878679656440365
25000,-23
25250,-25.12132034355964
25500,-26
25750,-25.12132034355966
26000,-22.99999999999999
26250,-20.878679656440355
26500,-20
26750,-20.878679656440347
27000,-22.99999999999998
27250,-25.121320343559624
27500,-26
27750,-25.121320343559645
28000,-23.00000000000001
28250,-20.87867965644037
28500,-20
28750,-20.87867965644036
29000,-23
29250,-25.12132034355964
29500,-26
29750,-25.12132034355966
30000,-23.000000000000032
30250,-20.878679656440355
30500,-20
30750,-20.878679656440347
31000,-22.99999999999998
31250,-25.12132034355962
31500,-26
31750,-25.121320343559645
32000,-23.00000000000001
32250,-20.878679656440372
32500,-20
32750,-20.87867965644036
33000,-23
33250,-25.121320343559635
33500,-26
33750,-25.12132034355966
34000,-22.999999999999993
34250,-20.878679656440358
34500,-20
34750,-20.878679656440347
35000,-22.999999999999975
35250,-25.12132034355962
35500,-26
35750,-25.121320343559645
36000,-23.000000000000014
36250,-20.878679656440372
36500,-20
36750,-20.87867965644036
37000,-22.999999999999996
37250,-25.121320343559635
37500,-26
37750,-25.12132034355966
38000,-23.000000000000036
38250,-20.878679656440358
38500,-20
38750,-20.878679656440347
39000,-22.999999999999975
39250,-25.121320343559617
39500,-26
39750,-25.121320343559645
40000,-23.000000000000014
40250,-20.878679656440372
40500,-20
40750,-20.87867965644033
41000,-22.999999999999954
41250,-25.121320343559603
41500,-26
41750,-25.12132034355963
42000,-22.999999999999993
42250,-20.878679656440358
42500,-20
42750,-20.878679656440344
43000,-22.999999999999975
43250,-25.121320343559617
43500,-26
43750,-25.121320343559677
44000,-23.00000000000006
44250,-20.878679656440344
44500,-20
44750,-20.878679656440358
45000,-22.999999999999993
45250,-25.12132034355963
45500,-26
45750,-25.121320343559663
46000,-23.00000000000004
46250,-20.87867965644039
46500,-20
46750,-20.878679656440372
47000,-23.000000000000014
47250,-25.121320343559645
47500,-26
47750,-25.12132034355965
48000,-23.000000000000018
48250,-20.878679656440376
48500,-20
48750,-20.878679656440326
49000,-22.99999999999995
49250,-25.121320343559603
49500,-26
49750,-25.121320343559635
50000,-22.999999999999996
50250,-20.87867965644036
50500,-20
50750,-20.87867965644034
51000,-22.99999999999997
51250,-25.121320343559617
51500,-26
51750,-25.12132034355968
52000,-22.999999999999975
52250,-20.878679656440347
52500,-20
52750,-20.878679656440358
53000,-22.999999999999993
53250,-25.12132034355963
53500,-26
53750,-25.121320343559667
54000,-23.000000000000043
54250,-20.878679656440394
54500,-20
54750,-20.878679656440372
55000,-23.00000000000001
55250,-25.121320343559645
55500,-26
55750,-25.121320343559653
56000,-23.00000000000002
56250,-20.878679656440376
56500,-20
56750,-20.878679656440326
57000,-22.999999999999947
57250,-25.1213203435596
57500,-26
57750,-25.12132034355964
58000,-23
58250,-20.87867965644036
58500,-20
58750,-20.87867965644034
59000,-22.999999999999968
59250,-25.121320343559614
59500,-26
59750,-25.12132034355968
60000,-23.000000000000064
60250,-20.878679656440347
60500,-20
