timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,heapUsedMB,external
1765981666193,1606.39,123.46,339083264,204947456,180611104,172.24,10675834
1765981666293,1610.23,124.36,339279872,205209600,181106056,172.72,10676565
1765981666394,1611.51,124.70,339345408,205471744,181491896,173.08,10677233
1765981666495,1612.07,124.80,339361792,205471744,181523096,173.11,10677233
1765981666595,1619.71,127.83,341983232,208240640,178323496,170.06,10678578
1765981666697,1619.93,127.89,341983232,208240640,178325856,170.06,10678578
1765981666799,1622.11,128.78,342048768,208240640,178637168,170.36,10684477
1765981666901,1622.20,128.81,342048768,208240640,178639656,170.36,10684477
1765981667001,1622.37,128.85,342048768,208240640,178642104,170.37,10684477
1765981667102,1624.61,129.76,342130688,208502784,179165024,170.87,10685822
1765981667203,1624.82,129.81,342147072,208502784,179167480,170.87,10685822
1765981667303,1627.21,130.76,342245376,208502784,179489944,171.17,10687167
1765981667404,1627.36,130.79,342245376,208502784,179492048,171.18,10687167
1765981667505,1627.56,130.85,342245376,208502784,179494128,171.18,10687167
1765981667607,1630.28,132.16,342261760,208502784,179850488,171.52,10688512
1765981667708,1630.47,132.21,342261760,208502784,179852592,171.52,10688512
1765981667809,1632.89,133.43,342294528,208502784,180159288,171.81,10698049
1765981667910,1633.05,133.48,342294528,208502784,180161392,171.82,10698049
1765981668011,1633.18,133.53,342294528,208502784,180163472,171.82,10698049
1765981668112,1634.86,134.34,342310912,208502784,180469872,172.11,10699394
1765981668213,1635.01,134.39,342310912,208502784,180471976,172.11,10699394
1765981668314,1637.13,135.44,342310912,208502784,180778664,172.40,10700739
1765981668415,1637.34,135.50,342310912,208502784,180780784,172.41,10700739
1765981668516,1637.50,135.55,342310912,208502784,180782864,172.41,10700739
1765981668617,1640.03,136.74,342343680,208502784,181089232,172.70,10702084
1765981668718,1640.26,136.80,342343680,208502784,181091336,172.70,10702084
1765981668819,1642.73,138.02,342343680,208502784,181457368,173.05,10711621
1765981668920,1642.90,138.08,342343680,208502784,181459472,173.05,10711621
1765981669021,1643.03,138.13,342343680,208502784,181461552,173.06,10711621
1765981669122,1646.61,139.33,342589440,208502784,181948488,173.52,10712966
1765981669223,1646.78,139.39,342589440,208502784,181950592,173.52,10712966
1765981669324,1649.49,140.49,342605824,208502784,182257256,173.81,10714311
1765981669425,1649.74,140.59,342605824,208502784,182259360,173.82,10714311
1765981669527,1649.91,140.65,342605824,208502784,182261440,173.82,10714311
1765981669627,1651.89,141.85,342605824,208502784,182568048,174.11,10715656
1765981669728,1652.03,141.90,342605824,208502784,182570152,174.11,10715656
1765981669830,1654.04,143.14,342622208,208502784,182876816,174.40,10725193
1765981669930,1654.25,143.22,342622208,208502784,182878968,174.41,10725193
1765981670031,1654.38,143.27,342622208,208502784,182881064,174.41,10725193
1765981670131,1656.80,144.52,342638592,208502784,183187504,174.70,10726538
1765981670232,1656.92,144.57,342638592,208502784,183189624,174.70,10726538
1765981670334,1659.51,145.73,342638592,208502784,183526752,175.02,10727883
1765981670435,1659.91,145.84,342638592,208502784,183528872,175.03,10727883
1765981670536,1660.06,145.91,342638592,208502784,183530968,175.03,10727883
1765981670637,1662.09,147.16,342638592,208502784,183837496,175.32,10729228
1765981670738,1662.21,147.19,342638592,208502784,183839616,175.32,10729228
1765981670839,1664.63,148.48,342654976,208502784,184146432,175.62,10738765
1765981670940,1664.84,148.56,342654976,208502784,184148552,175.62,10738765
1765981671041,1664.96,148.62,342654976,208502784,184150648,175.62,10738765
1765981671142,1668.89,149.95,342687744,208502784,184457240,175.91,10740110
1765981671243,1669.01,150.00,342687744,208502784,184459360,175.91,10740110
1765981671344,1678.22,153.31,350142464,216367104,178888040,170.60,10741455
1765981671445,1678.42,153.37,350142464,216367104,178890160,170.60,10741455
1765981671546,1678.62,153.44,350142464,216367104,178892256,170.60,10741455
